Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,190.0,199.75,187.0,197.0,18253801,0,0
2020-07-02,199.89999389648438,201.9499969482422,192.10000610351562,197.10000610351562,15050875,0,0
2020-07-03,198.0,204.6999969482422,194.39999389648438,196.6999969482422,23042797,0,0
2020-07-06,200.0,202.0,196.64999389648438,201.10000610351562,11026982,0,0
2020-07-07,202.0,215.0,200.14999389648438,213.10000610351562,24006030,0,0
2020-07-08,214.8000030517578,218.0,203.5,205.3000030517578,14664941,0,0
2020-07-09,208.85000610351562,211.1999969482422,204.6999969482422,208.89999389648438,8810981,0,0
2020-07-10,208.0,214.35000610351562,206.0,208.4499969482422,11878127,0,0
2020-07-13,210.0,212.89999389648438,204.35000610351562,205.25,5680238,0,0
2020-07-14,200.0,203.5,195.8000030517578,199.0,7388425,0,0
2020-07-15,203.0,207.9499969482422,200.60000610351562,202.1999969482422,9959302,0,0
2020-07-16,205.0,210.85000610351562,198.0,209.64999389648438,10210607,0,0
2020-07-17,210.0,210.9499969482422,204.1999969482422,207.1999969482422,6669571,0,0
2020-07-20,207.1999969482422,218.60000610351562,207.0500030517578,215.1999969482422,14157285,0,0
2020-07-21,216.75,220.5,211.5500030517578,212.5500030517578,10686506,0,0
2020-07-22,212.0,224.1999969482422,207.0500030517578,220.89999389648438,16591571,0,0
2020-07-23,221.3000030517578,224.5500030517578,218.5,222.5500030517578,9687674,0,0
2020-07-24,218.0500030517578,219.9499969482422,212.0,212.35000610351562,7770885,0,0
2020-07-27,213.0,214.39999389648438,207.0,208.8000030517578,6443220,0,0
2020-07-28,210.89999389648438,217.25,209.5,215.64999389648438,5420403,0,0
2020-07-29,214.6999969482422,223.35000610351562,213.60000610351562,221.39999389648438,8270478,0,0
2020-07-30,220.89999389648438,222.8000030517578,209.5500030517578,214.1999969482422,9165526,0,0
2020-07-31,216.1999969482422,216.89999389648438,200.5,202.5,12415209,0,0
2020-08-03,200.9499969482422,206.5,197.5,201.0,9877591,0,0
2020-08-04,203.0,205.60000610351562,198.6999969482422,200.5500030517578,7460238,0,0
2020-08-05,202.39999389648438,207.35000610351562,202.0500030517578,204.39999389648438,7426070,0,0
2020-08-06,206.0,208.3000030517578,202.0500030517578,205.64999389648438,8134995,0,0
2020-08-07,205.5,209.6999969482422,202.60000610351562,208.75,7377926,0,0
2020-08-10,210.89999389648438,213.39999389648438,207.5,209.5500030517578,6079332,0,0
2020-08-11,209.60000610351562,212.0500030517578,206.39999389648438,207.14999389648438,4259787,0,0
2020-08-12,207.0,211.5,202.14999389648438,209.39999389648438,5639740,0,0
2020-08-13,211.0,227.3000030517578,210.10000610351562,225.14999389648438,13776887,0,0
2020-08-14,226.35000610351562,231.0,216.1999969482422,218.10000610351562,12286131,0,0
2020-08-17,221.0,222.39999389648438,210.35000610351562,212.3000030517578,6112589,0,0
2020-08-18,213.5,233.0,212.10000610351562,231.8000030517578,15751508,0,0
2020-08-19,231.8000030517578,234.5500030517578,225.5,226.64999389648438,9870113,0,0
2020-08-20,223.89999389648438,234.39999389648438,220.39999389648438,226.6999969482422,7286162,0,0
2020-08-21,229.8000030517578,231.0,223.1999969482422,227.35000610351562,8607336,0,0
