Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,279.0,293.5,277.04998779296875,280.0,3270668,0,0
2020-07-02,282.0,283.3500061035156,273.04998779296875,274.20001220703125,601912,0,0
2020-07-03,275.8999938964844,276.54998779296875,264.0,266.95001220703125,631456,0,0
2020-07-06,268.04998779296875,272.0,265.25,267.45001220703125,588415,0,0
2020-07-07,267.95001220703125,277.8999938964844,267.45001220703125,269.5,727123,0,0
2020-07-08,270.8999938964844,272.0,257.3999938964844,261.0,379043,0,0
2020-07-09,261.95001220703125,263.20001220703125,254.39999389648438,256.04998779296875,526112,0,0
2020-07-10,255.0500030517578,256.3999938964844,248.0,250.3000030517578,995986,0,0
2020-07-13,251.5,270.0,249.1999969482422,266.6499938964844,1342141,0,0
2020-07-14,268.0,276.75,261.20001220703125,268.29998779296875,1232266,0,0
2020-07-15,270.8999938964844,278.0,268.0,268.8500061035156,1229346,0,0
2020-07-16,272.8999938964844,287.70001220703125,272.25,284.1499938964844,3203565,0,0
2020-07-17,291.5,310.79998779296875,290.04998779296875,295.1499938964844,4180767,0,0
2020-07-20,295.1499938964844,301.1499938964844,293.1499938964844,296.75,811530,0,0
2020-07-21,299.95001220703125,304.1000061035156,298.1000061035156,299.8500061035156,552274,0,0
2020-07-22,302.8500061035156,302.8500061035156,292.6000061035156,297.79998779296875,372496,0,0
2020-07-23,299.79998779296875,321.8999938964844,297.8500061035156,318.54998779296875,1198938,0,0
2020-07-24,318.1000061035156,325.0,309.20001220703125,316.6499938964844,937364,0,0
2020-07-27,319.0,327.75,318.45001220703125,325.25,579353,0,0
2020-07-28,327.5,337.75,326.04998779296875,329.79998779296875,679429,0,0
2020-07-29,331.8500061035156,331.95001220703125,321.0,325.04998779296875,348943,0,0
2020-07-30,325.04998779296875,332.75,321.0,325.20001220703125,395156,0,0
2020-07-31,326.0,334.0,322.6499938964844,330.0,396113,0,0
2020-08-03,326.1000061035156,335.1000061035156,324.04998779296875,325.5,406978,0,0
2020-08-04,328.3999938964844,330.8999938964844,322.6000061035156,325.0,217022,0,0
2020-08-05,325.20001220703125,348.70001220703125,325.20001220703125,336.54998779296875,1409063,0,0
2020-08-06,338.5,347.8999938964844,336.79998779296875,339.79998779296875,646721,0,0
2020-08-07,340.8500061035156,348.0,338.3999938964844,339.8999938964844,425657,0,0
2020-08-10,342.5,361.79998779296875,339.25,359.54998779296875,863097,0,0
2020-08-11,363.6499938964844,376.8999938964844,362.04998779296875,369.0,778626,0,0
2020-08-12,368.8999938964844,374.29998779296875,363.0,371.04998779296875,422163,0,0
2020-08-13,373.70001220703125,383.8999938964844,372.5,378.79998779296875,428262,0,0
2020-08-14,378.79998779296875,389.8999938964844,361.70001220703125,369.04998779296875,550197,0,0
2020-08-17,372.95001220703125,430.95001220703125,372.95001220703125,406.3500061035156,2684895,0,0
2020-08-18,407.75,409.79998779296875,395.5,398.75,578933,0,0
2020-08-19,400.0,404.0,394.0,396.5,347339,0,0
2020-08-20,394.8999938964844,401.5,391.0,394.3500061035156,254440,0,0
2020-08-21,395.3999938964844,399.95001220703125,387.25,389.20001220703125,306143,0,0
2020-08-24,389.95001220703125,394.79998779296875,380.0,381.75,408920,0,0
2020-08-25,384.79998779296875,390.0,378.0,379.45001220703125,325269,0,0
2020-08-26,380.0,389.95001220703125,376.3500061035156,382.8500061035156,385684,0,0
2020-08-27,384.79998779296875,416.79998779296875,383.70001220703125,394.04998779296875,1537301,0,0
2020-08-28,398.20001220703125,408.6000061035156,394.0,400.8999938964844,524801,0,0
2020-08-31,412.0,415.70001220703125,379.29998779296875,388.29998779296875,759472,0,0
2020-09-01,388.29998779296875,395.54998779296875,382.0,386.54998779296875,234604,0,0
2020-09-02,389.70001220703125,399.6000061035156,383.0,391.8999938964844,293058,0,0
2020-09-03,391.0,399.0,390.25,396.0,167932,0,0
2020-09-04,388.0,391.6000061035156,382.5,385.5,171093,0,0
2020-09-07,385.5,389.1499938964844,374.04998779296875,377.29998779296875,164012,0,0
2020-09-08,378.8999938964844,397.6499938964844,377.29998779296875,382.29998779296875,716166,0,0
2020-09-09,378.70001220703125,383.54998779296875,369.29998779296875,379.29998779296875,412662,0,0
2020-09-10,385.0,394.0,383.04998779296875,390.04998779296875,334032,0,0
2020-09-11,393.5,393.5,372.0,377.5,350194,0,0
2020-09-14,381.1499938964844,411.0,381.1499938964844,403.70001220703125,1378358,0,0
2020-09-15,408.0,415.0,406.54998779296875,412.95001220703125,770331,0,0
2020-09-16,416.0,421.0,412.45001220703125,418.20001220703125,671690,0,0
2020-09-17,415.0,426.0,411.0,417.8999938964844,531645,0,0
2020-09-18,421.79998779296875,428.95001220703125,415.0,422.45001220703125,468117,0,0
2020-09-21,425.79998779296875,442.45001220703125,392.75,406.54998779296875,1154559,0,0
2020-09-22,408.0,413.54998779296875,381.0,395.20001220703125,528972,0,0
2020-09-23,400.0,403.75,382.04998779296875,387.95001220703125,458410,0,0
2020-09-24,384.0,384.0,367.1000061035156,370.1000061035156,328814,0,0
2020-09-25,373.6000061035156,386.75,373.6000061035156,384.0,249804,0,0
2020-09-28,389.0,397.75,388.0,392.5,218470,0,0
2020-09-29,395.0,398.0,391.1499938964844,394.29998779296875,163410,0,0
2020-09-30,395.95001220703125,396.20001220703125,381.0,383.5,178055,0,0
2020-10-01,388.8999938964844,390.0,377.75,379.1000061035156,310215,0,0
2020-10-05,383.0,391.20001220703125,381.6499938964844,383.5,305002,0,0
2020-10-06,386.0,396.79998779296875,382.5,392.70001220703125,350587,0,0
2020-10-07,393.0,393.0,386.1000061035156,387.25,266626,0,0
2020-10-08,392.0,404.8999938964844,385.0,387.79998779296875,1513562,0,0
2020-10-09,388.95001220703125,391.5,381.29998779296875,383.0,327798,0,0
2020-10-12,386.5,387.95001220703125,376.0,377.20001220703125,298237,0,0
2020-10-13,380.0,381.5,370.54998779296875,376.8999938964844,1211706,0,0
2020-10-14,379.8500061035156,379.8500061035156,372.1000061035156,374.6499938964844,441928,0,0
2020-10-15,377.5,379.0,365.0,366.5,483223,0,0
2020-10-16,370.0,392.0,369.0,389.5,3026979,0,0
2020-10-19,393.3999938964844,397.95001220703125,387.0,395.6000061035156,897606,0,0
2020-10-20,395.6000061035156,407.95001220703125,391.0,404.8999938964844,953583,0,0
2020-10-21,405.5,411.3999938964844,392.8500061035156,409.1000061035156,1310481,0,0
2020-10-22,409.0,431.95001220703125,402.25,426.0,1448763,0,0
2020-10-23,430.0,443.0,421.20001220703125,429.5,1209506,0,0
2020-10-26,429.5,430.8999938964844,418.1000061035156,424.3500061035156,442025,0,0
2020-10-27,418.1000061035156,423.0,412.8999938964844,418.54998779296875,415374,0,0
2020-10-28,414.04998779296875,427.45001220703125,414.04998779296875,421.70001220703125,396142,0,0
2020-10-29,412.0,414.29998779296875,403.0,404.45001220703125,414943,0,0
2020-10-30,403.0,406.75,390.0,394.29998779296875,430202,0,0
2020-11-02,394.8999938964844,404.5,394.79998779296875,402.70001220703125,287472,0,0
2020-11-03,401.5,411.75,401.29998779296875,409.1000061035156,237554,0,0
2020-11-04,411.0,419.45001220703125,402.0,408.1000061035156,224089,0,0
2020-11-05,410.54998779296875,414.5,405.5,408.45001220703125,166122,0,0
2020-11-06,408.95001220703125,414.70001220703125,401.1000061035156,403.1000061035156,188621,0,0
2020-11-09,410.0,425.54998779296875,408.0,419.70001220703125,700680,0,0
2020-11-10,419.70001220703125,424.70001220703125,412.79998779296875,419.95001220703125,488672,0,0
2020-11-11,419.95001220703125,441.3500061035156,417.6000061035156,429.5,1047198,0,0
2020-11-12,429.0,434.70001220703125,420.0,428.25,256716,0,0
2020-11-13,424.0,430.79998779296875,420.6499938964844,424.5,210908,0,0
2020-11-17,426.75,437.04998779296875,426.0,428.75,664968,0,0
2020-11-18,429.0,438.75,428.1000061035156,437.0,290648,0,0
2020-11-19,437.0,513.0,435.04998779296875,450.3500061035156,1118907,0,0
2020-11-20,451.0,471.04998779296875,450.54998779296875,462.6000061035156,934779,0,0
2020-11-23,463.0,492.8999938964844,453.0,485.45001220703125,834553,0,0
2020-11-24,491.8999938964844,492.6000061035156,478.25,482.5,512216,0,0
2020-11-25,482.0,484.1000061035156,468.6000061035156,471.3999938964844,232050,0,0
2020-11-26,471.0,472.1000061035156,451.25,456.04998779296875,318060,0,0
2020-11-27,458.3500061035156,493.3500061035156,458.3500061035156,489.1499938964844,1473651,0,0
2020-12-01,497.0,497.0,475.75,480.20001220703125,517615,0,0
2020-12-02,480.70001220703125,484.54998779296875,471.1499938964844,474.45001220703125,265635,0,0
2020-12-03,476.1499938964844,495.45001220703125,476.1499938964844,482.70001220703125,522204,0,0
2020-12-04,485.0,487.70001220703125,476.5,478.95001220703125,374925,0,0
2020-12-07,480.20001220703125,482.25,475.04998779296875,480.0,333514,0,0
2020-12-08,482.0,482.0,471.1000061035156,474.29998779296875,250512,0,0
2020-12-09,475.0,488.8999938964844,475.0,476.5,542193,0,0
2020-12-10,477.0,485.8999938964844,472.6000061035156,478.25,370913,0,0
2020-12-11,480.3500061035156,499.79998779296875,480.29998779296875,496.70001220703125,706888,0,0
2020-12-14,501.5,550.75,499.6000061035156,535.1500244140625,2104999,0,0
2020-12-15,542.5,562.75,520.0,531.0999755859375,2427053,0,0
2020-12-16,531.0499877929688,550.0,528.0,545.3499755859375,930404,0,0
2020-12-17,548.0,550.0,532.25,540.7000122070312,868347,0,0
2020-12-18,540.5,542.7999877929688,524.0499877929688,528.2999877929688,392624,0,0
2020-12-21,526.9000244140625,527.0,442.1000061035156,490.54998779296875,660840,0,0
2020-12-22,490.04998779296875,518.0,486.0,513.9000244140625,855233,0,0
2020-12-23,514.9000244140625,524.2000122070312,514.7999877929688,518.25,643503,0,0
