Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,247.5,264.8999938964844,245.5500030517578,261.54998779296875,2329951,0,0
2020-07-02,263.1000061035156,271.8500061035156,258.04998779296875,265.75,2572386,0,0
2020-07-03,267.1000061035156,269.0,261.20001220703125,263.5,512086,0,0
2020-07-06,268.0,278.79998779296875,265.29998779296875,274.1499938964844,1085513,0,0
2020-07-07,275.29998779296875,275.6499938964844,262.54998779296875,265.04998779296875,349567,0,0
2020-07-08,266.8999938964844,269.79998779296875,261.0,262.3999938964844,256852,0,0
2020-07-09,264.5,279.8500061035156,262.25,275.75,764638,0,0
2020-07-10,271.0,273.70001220703125,262.1000061035156,264.6499938964844,671577,0,0
2020-07-13,267.20001220703125,271.20001220703125,260.1499938964844,263.04998779296875,279137,0,0
2020-07-14,260.8999938964844,266.3500061035156,253.0,255.0,336583,0,0
2020-07-15,257.8999938964844,261.79998779296875,248.0,250.0,270342,0,0
2020-07-16,252.0,255.75,249.0,249.9499969482422,348822,0,0
2020-07-17,251.0,258.8500061035156,249.85000610351562,252.89999389648438,249721,0,0
2020-07-20,254.8000030517578,261.95001220703125,253.35000610351562,254.6999969482422,162143,0,0
2020-07-21,257.5,258.45001220703125,250.0,250.5,188848,0,0
2020-07-22,250.3000030517578,265.5,249.0500030517578,254.75,674683,0,0
2020-07-23,255.0,261.79998779296875,255.0,257.20001220703125,144827,0,0
2020-07-24,254.39999389648438,255.85000610351562,251.10000610351562,252.64999389648438,115283,0,0
2020-07-27,253.60000610351562,254.35000610351562,245.1999969482422,247.9499969482422,127150,0,0
2020-07-28,249.8000030517578,251.9499969482422,249.0,250.4499969482422,78588,0,0
2020-07-29,250.14999389648438,257.79998779296875,250.14999389648438,252.5,107798,0,0
2020-07-30,253.9499969482422,263.1000061035156,252.14999389648438,258.54998779296875,476972,0,0
2020-07-31,262.79998779296875,274.0,260.25,270.54998779296875,822753,0,0
2020-08-03,272.8999938964844,293.45001220703125,268.8500061035156,286.25,839043,0,0
2020-08-04,292.0,306.79998779296875,290.0,303.75,1395655,0,0
2020-08-05,307.0,314.0,301.04998779296875,305.29998779296875,639995,0,0
2020-08-06,305.0,318.6499938964844,290.1000061035156,295.8500061035156,853069,0,0
2020-08-07,299.0,307.0,299.0,303.3999938964844,610627,0,0
2020-08-10,305.79998779296875,315.8500061035156,303.0,314.70001220703125,576184,0,0
2020-08-11,316.8999938964844,339.0,300.1000061035156,309.1000061035156,2030747,0,0
2020-08-12,290.0,305.0,290.0,296.20001220703125,1145054,0,0
2020-08-13,299.0,301.75,288.0,293.6000061035156,433974,0,0
2020-08-14,290.0,297.8999938964844,285.04998779296875,286.1499938964844,335438,0,0
2020-08-17,288.8999938964844,293.04998779296875,285.3999938964844,291.1000061035156,214650,0,0
2020-08-18,292.8500061035156,295.6499938964844,290.54998779296875,291.70001220703125,153111,0,0
2020-08-19,293.0,294.8999938964844,288.0,290.6000061035156,105154,0,0
2020-08-20,288.8500061035156,293.3500061035156,286.1000061035156,288.75,129759,0,0
2020-08-21,290.75,299.70001220703125,289.20001220703125,293.54998779296875,254675,0,0
2020-08-24,295.0,296.3500061035156,288.0,289.54998779296875,129983,0,0
2020-08-25,293.0,293.95001220703125,285.3500061035156,288.3500061035156,159617,0,0
2020-08-26,289.70001220703125,290.0,284.75,287.6000061035156,109202,0,0
2020-08-27,288.1000061035156,290.0,282.1499938964844,283.75,134733,0,0
2020-08-28,285.79998779296875,289.79998779296875,280.25,281.8500061035156,246653,0,0
2020-08-31,285.6000061035156,288.75,260.25,261.95001220703125,431387,0,0
2020-09-01,263.8999938964844,267.6499938964844,258.04998779296875,260.3500061035156,228186,0,0
2020-09-02,260.95001220703125,273.20001220703125,260.95001220703125,270.75,163965,0,0
2020-09-03,272.1000061035156,274.5,260.1000061035156,261.3500061035156,229052,0,0
2020-09-04,255.0,265.0,255.0,262.8500061035156,173600,0,0
2020-09-07,264.70001220703125,265.0,256.8500061035156,257.79998779296875,105309,0,0
2020-09-08,259.1000061035156,263.6000061035156,250.39999389648438,251.85000610351562,167578,0,0
2020-09-09,251.8000030517578,251.8000030517578,232.25,243.14999389648438,257244,0,0
2020-09-10,245.10000610351562,260.0,245.0,259.1000061035156,436558,0,0
2020-09-11,264.0,264.3999938964844,254.39999389648438,256.1499938964844,238261,0,0
2020-09-14,260.0,268.0,257.54998779296875,264.79998779296875,350504,0,0
2020-09-15,264.79998779296875,271.0,264.79998779296875,269.75,203038,0,0
2020-09-16,271.70001220703125,276.25,267.3999938964844,275.04998779296875,328207,0,0
2020-09-17,274.0,282.8999938964844,260.1499938964844,278.6499938964844,231524,0,0
2020-09-18,280.6000061035156,284.0,275.70001220703125,278.75,157278,0,0
2020-09-21,282.0,284.8500061035156,258.95001220703125,263.6000061035156,184685,0,0
2020-09-22,267.0,268.95001220703125,249.35000610351562,252.60000610351562,200475,0,0
2020-09-23,255.5,259.54998779296875,248.5,253.10000610351562,117714,0,0
2020-09-24,248.0,258.45001220703125,244.5,254.3000030517578,135180,0,0
2020-09-25,255.60000610351562,288.0,253.25,284.8999938964844,512273,0,0
2020-09-28,291.8999938964844,291.8999938964844,282.0,285.79998779296875,342391,0,0
2020-09-29,287.8999938964844,287.8999938964844,282.1499938964844,285.45001220703125,282017,0,0
2020-09-30,285.95001220703125,298.79998779296875,284.0,289.8500061035156,615953,0,0
2020-10-01,291.29998779296875,299.3999938964844,286.0,288.45001220703125,375395,0,0
2020-10-05,286.04998779296875,298.0,276.1499938964844,279.95001220703125,553472,0,0
2020-10-06,282.8999938964844,287.20001220703125,280.1499938964844,282.5,219905,0,0
2020-10-07,284.0,284.0,275.79998779296875,277.54998779296875,169205,0,0
2020-10-08,278.0,282.0,274.0,275.1000061035156,85771,0,0
2020-10-09,277.79998779296875,277.95001220703125,273.0,274.5,105335,0,0
2020-10-12,276.5,284.0,275.20001220703125,276.45001220703125,125765,0,0
2020-10-13,277.0,277.79998779296875,268.6499938964844,269.75,126588,0,0
2020-10-14,269.0,270.20001220703125,263.0,266.1499938964844,100590,0,0
2020-10-15,267.1000061035156,268.75,260.0,261.95001220703125,136680,0,0
2020-10-16,264.0,264.79998779296875,256.79998779296875,260.8999938964844,126998,0,0
2020-10-19,263.3999938964844,264.29998779296875,257.54998779296875,258.20001220703125,106897,0,0
2020-10-20,258.20001220703125,262.8500061035156,254.0,256.3500061035156,137179,0,0
2020-10-21,257.3999938964844,268.3999938964844,257.3999938964844,261.79998779296875,310852,0,0
2020-10-22,267.8999938964844,268.75,251.5,253.39999389648438,310046,0,0
2020-10-23,254.0,256.5,252.85000610351562,255.3000030517578,154121,0,0
2020-10-26,253.39999389648438,267.0,253.39999389648438,262.70001220703125,228363,0,0
2020-10-27,264.04998779296875,266.20001220703125,257.25,263.70001220703125,234978,0,0
2020-10-28,264.5,265.8999938964844,259.1000061035156,260.29998779296875,167579,0,0
2020-10-29,256.29998779296875,261.5,255.5,258.54998779296875,65597,0,0
2020-10-30,259.5,264.0,249.0,255.85000610351562,174500,0,0
2020-11-02,258.0,258.04998779296875,249.0,250.6999969482422,119222,0,0
2020-11-03,253.9499969482422,255.75,244.8000030517578,245.89999389648438,122969,0,0
2020-11-04,249.89999389648438,254.25,248.0,252.5500030517578,102393,0,0
2020-11-05,255.5,260.70001220703125,254.0,258.75,241397,0,0
2020-11-06,261.8999938964844,270.54998779296875,258.5,266.25,441404,0,0
2020-11-09,270.3999938964844,271.8999938964844,238.3000030517578,255.39999389648438,434235,0,0
2020-11-10,255.5,265.54998779296875,252.60000610351562,255.85000610351562,279096,0,0
2020-11-11,259.95001220703125,260.0,253.25,258.6000061035156,142226,0,0
2020-11-12,258.95001220703125,259.95001220703125,254.75,255.75,126894,0,0
2020-11-13,256.0,261.70001220703125,254.5,255.25,389575,0,0
2020-11-17,259.5,259.5,251.5,252.14999389648438,280117,0,0
2020-11-18,253.39999389648438,254.9499969482422,249.0,249.85000610351562,510455,0,0
2020-11-19,248.8000030517578,253.4499969482422,248.75,251.75,164265,0,0
2020-11-20,253.9499969482422,254.0,249.5,250.5,160161,0,0
2020-11-23,252.5,252.85000610351562,247.0,247.8000030517578,249035,0,0
2020-11-24,250.0,254.9499969482422,249.6999969482422,252.3000030517578,293531,0,0
2020-11-25,253.60000610351562,255.0,250.0500030517578,253.8000030517578,286447,0,0
2020-11-26,255.4499969482422,268.5,254.10000610351562,260.95001220703125,1300982,0,0
2020-11-27,261.70001220703125,264.1499938964844,255.3000030517578,257.79998779296875,483872,0,0
2020-12-01,258.0,274.0,257.20001220703125,271.70001220703125,1003562,0,0
2020-12-02,275.0,281.79998779296875,273.0,276.75,865307,0,0
2020-12-03,279.3500061035156,293.0,276.75,281.95001220703125,1373425,0,0
2020-12-04,282.0,285.1499938964844,273.0,277.70001220703125,361182,0,0
2020-12-07,278.6499938964844,282.70001220703125,272.8999938964844,275.95001220703125,376877,0,0
2020-12-08,275.95001220703125,276.5,257.0,262.54998779296875,758239,0,0
2020-12-09,264.6499938964844,270.5,263.6499938964844,268.3999938964844,239831,0,0
