Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,145.0,146.0,142.0,142.75,118708,0,0
2020-07-02,144.9499969482422,152.39999389648438,143.1999969482422,149.14999389648438,714048,0,0
2020-07-03,150.89999389648438,157.4499969482422,150.89999389648438,156.0500030517578,683446,0,0
2020-07-06,158.35000610351562,158.35000610351562,153.1999969482422,154.35000610351562,242391,0,0
2020-07-07,154.0,155.3000030517578,150.89999389648438,152.0500030517578,115502,0,0
2020-07-08,152.0500030517578,152.25,142.10000610351562,144.89999389648438,200161,0,0
2020-07-09,146.39999389648438,150.0,146.0,147.9499969482422,163740,0,0
2020-07-10,148.89999389648438,149.64999389648438,146.0,147.6999969482422,93277,0,0
2020-07-13,149.60000610351562,149.60000610351562,144.5500030517578,145.10000610351562,87489,0,0
2020-07-14,144.85000610351562,144.85000610351562,140.35000610351562,142.0500030517578,91802,0,0
2020-07-15,142.0500030517578,143.89999389648438,135.0,136.5,126154,0,0
2020-07-16,138.0,141.39999389648438,134.75,139.6999969482422,89325,0,0
2020-07-17,139.5,140.0,135.1999969482422,138.6999969482422,85068,0,0
2020-07-20,139.0,143.35000610351562,138.0,139.25,68559,0,0
2020-07-21,140.25,145.0,140.0,141.3000030517578,73822,0,0
2020-07-22,142.5,142.5,139.1999969482422,139.39999389648438,33179,0,0
2020-07-23,139.8000030517578,142.0,136.5,140.14999389648438,65626,0,0
2020-07-24,147.75,152.39999389648438,145.14999389648438,148.0,958404,0,0
2020-07-27,148.0,149.0,140.5,141.25,114621,0,0
2020-07-28,141.89999389648438,142.0,138.3000030517578,139.10000610351562,88129,0,0
2020-07-29,140.0,140.75,137.4499969482422,138.35000610351562,76873,0,0
2020-07-30,138.1999969482422,139.39999389648438,136.14999389648438,137.14999389648438,61649,0,0
2020-07-31,137.1999969482422,138.0,132.1999969482422,133.39999389648438,121556,0,0
2020-08-03,132.1999969482422,133.0,130.4499969482422,130.9499969482422,67905,0,0
2020-08-04,131.39999389648438,133.6999969482422,129.0,132.85000610351562,101259,0,0
2020-08-05,133.89999389648438,134.6999969482422,126.5,128.10000610351562,508113,0,0
2020-08-06,128.4499969482422,139.85000610351562,127.44999694824219,133.8000030517578,963206,0,0
2020-08-07,135.6999969482422,135.6999969482422,132.5,134.14999389648438,144013,0,0
2020-08-10,135.8000030517578,139.9499969482422,135.3000030517578,138.4499969482422,279580,0,0
2020-08-11,139.0,143.0,139.0,141.39999389648438,184487,0,0
2020-08-12,141.4499969482422,141.89999389648438,138.25,140.25,195599,0,0
2020-08-13,141.8000030517578,144.39999389648438,139.85000610351562,143.10000610351562,110570,0,0
2020-08-14,145.0,146.64999389648438,138.39999389648438,140.6999969482422,138849,0,0
2020-08-17,145.5,145.5,140.10000610351562,142.6999969482422,117241,0,0
2020-08-18,142.89999389648438,150.39999389648438,142.0500030517578,146.9499969482422,271779,0,0
2020-08-19,147.39999389648438,158.6999969482422,147.39999389648438,156.5,747465,0,0
2020-08-20,156.5,161.64999389648438,154.0,156.39999389648438,270904,0,0
2020-08-21,157.0500030517578,162.4499969482422,156.1999969482422,158.5,259857,0,0
2020-08-24,157.14999389648438,160.75,152.75,154.75,187089,0,0
2020-08-25,158.0,176.4499969482422,156.6999969482422,174.0,2068425,0,0
2020-08-26,174.39999389648438,174.39999389648438,167.9499969482422,170.4499969482422,444962,0,0
2020-08-27,171.89999389648438,174.89999389648438,167.5,169.10000610351562,272201,0,0
2020-08-28,172.14999389648438,174.0,168.4499969482422,169.3000030517578,477539,0,0
2020-08-31,172.64999389648438,178.0,167.89999389648438,169.64999389648438,1015294,0,0
2020-09-01,175.0,177.0,169.0,172.3000030517578,503580,0,0
2020-09-02,174.0,174.75,169.10000610351562,170.5500030517578,154915,0,0
2020-09-03,172.5,173.4499969482422,166.8000030517578,167.4499969482422,186316,0,0
2020-09-04,165.0,165.10000610351562,161.0500030517578,162.5,194535,0,0
2020-09-07,163.5,166.0,159.6999969482422,161.9499969482422,170683,0,0
2020-09-08,163.39999389648438,163.4499969482422,151.1999969482422,154.85000610351562,138056,0,0
2020-09-09,153.85000610351562,153.85000610351562,147.9499969482422,152.0,110725,0,0
2020-09-10,153.0500030517578,160.0,153.0500030517578,155.0500030517578,142168,0,0
2020-09-11,156.3000030517578,170.0,156.0,157.5,169513,0,0
2020-09-14,161.89999389648438,172.5,161.10000610351562,165.35000610351562,501731,0,0
2020-09-15,167.85000610351562,174.10000610351562,167.10000610351562,170.89999389648438,354414,0,0
2020-09-16,171.5500030517578,173.3000030517578,167.0,171.4499969482422,151535,0,0
2020-09-17,171.0,175.0,170.25,171.25,299098,0,0
2020-09-18,171.89999389648438,172.14999389648438,168.39999389648438,169.39999389648438,94456,0,0
2020-09-21,171.89999389648438,173.0,155.6999969482422,159.89999389648438,175448,0,0
2020-09-22,159.85000610351562,167.3000030517578,150.3000030517578,162.60000610351562,162769,0,0
2020-09-23,163.4499969482422,170.0,156.10000610351562,159.60000610351562,150730,0,0
2020-09-24,156.0,159.0,153.0,155.89999389648438,136058,0,0
2020-09-25,158.0,158.85000610351562,154.10000610351562,155.8000030517578,107776,0,0
2020-09-28,159.0,162.89999389648438,157.14999389648438,158.39999389648438,139959,0,0
2020-09-29,159.6999969482422,161.4499969482422,154.89999389648438,155.5,123738,0,0
2020-09-30,158.6999969482422,158.6999969482422,155.10000610351562,156.1999969482422,55676,0,0
2020-10-01,157.14999389648438,159.1999969482422,157.14999389648438,158.1999969482422,47223,0,0
2020-10-05,160.0,161.6999969482422,160.0,161.35000610351562,139733,0,0
2020-10-06,163.6999969482422,165.8000030517578,161.4499969482422,165.10000610351562,135890,0,0
2020-10-07,165.0500030517578,166.0,158.4499969482422,163.5,157212,0,0
2020-10-08,165.0,165.0500030517578,159.5500030517578,163.9499969482422,318556,0,0
2020-10-09,165.0,165.0,159.8000030517578,160.75,116548,0,0
2020-10-12,163.5,167.5,160.1999969482422,165.60000610351562,728172,0,0
2020-10-13,169.5,169.5,163.0,165.9499969482422,281955,0,0
2020-10-14,165.1999969482422,167.0500030517578,162.39999389648438,165.10000610351562,283650,0,0
