Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,170.3000030517578,171.4499969482422,169.0,169.8000030517578,183687,0,0
2020-07-02,170.0500030517578,171.25,170.0,170.75,220586,0,0
2020-07-03,171.0,172.8000030517578,168.0,169.85000610351562,522600,0,0
2020-07-06,171.3000030517578,172.5,169.10000610351562,169.75,632509,0,0
2020-07-07,170.5,171.0,168.5500030517578,170.0500030517578,823946,0,0
2020-07-08,171.0,174.8000030517578,170.3000030517578,173.0,612331,0,0
2020-07-09,173.5,176.89999389648438,170.75,174.64999389648438,485754,0,0
2020-07-10,174.5,174.5,172.0,172.5,285194,0,0
2020-07-13,173.10000610351562,173.9499969482422,170.0500030517578,171.5,277016,0,0
2020-07-14,171.5,173.5,165.64999389648438,171.5,661771,0,0
2020-07-15,172.10000610351562,172.64999389648438,169.39999389648438,170.9499969482422,191581,0,0
2020-07-16,171.0,171.4499969482422,168.5500030517578,170.4499969482422,276552,0,0
2020-07-17,171.35000610351562,171.60000610351562,169.4499969482422,170.0500030517578,138912,0,0
2020-07-20,170.5,173.0,169.5,169.8000030517578,209824,0,0
2020-07-21,170.5,174.60000610351562,170.0,173.25,589484,0,0
2020-07-22,173.5500030517578,173.89999389648438,170.6999969482422,170.9499969482422,150003,0,0
2020-07-23,171.14999389648438,172.14999389648438,170.5,170.8000030517578,104553,0,0
2020-07-24,170.0,170.75,168.39999389648438,168.8000030517578,248487,0,0
2020-07-27,168.8000030517578,170.9499969482422,164.0500030517578,166.14999389648438,421273,0,0
2020-07-28,165.0,166.75,163.0,164.85000610351562,354363,0,0
2020-07-29,165.0,166.5,164.0,164.5500030517578,285859,0,0
2020-07-30,164.60000610351562,166.0,163.0,163.5500030517578,128278,0,0
2020-07-31,164.0,164.89999389648438,162.0,162.85000610351562,174232,0,0
2020-08-03,162.85000610351562,163.35000610351562,161.5,161.9499969482422,175402,0,0
2020-08-04,163.0,165.39999389648438,162.39999389648438,163.4499969482422,291424,0,0
2020-08-05,164.8000030517578,166.5,164.0,164.64999389648438,194386,0,0
2020-08-06,166.0,167.0,164.0,164.9499969482422,289994,0,0
