Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,3054.6030566758645,3065.269924492828,3006.117293871486,3044.808837890625,6218,0.0,0
2020-07-02,3017.802445199408,3074.9671128620826,3017.802445199408,3064.494140625,6819,0.0,0
2020-07-03,3055.5726688181053,3092.3247810848266,3044.905801361108,3077.779052734375,6655,0.0,0
2020-07-06,3079.8157077456644,3151.57463796392,3031.1845814924554,3120.349853515625,13721,0.0,0
2020-07-07,3122.531562988595,3155.50188069538,3093.391573077781,3120.446533203125,13032,0.0,0
2020-07-08,3136.0589598946617,3141.683355409587,3108.1796478671504,3125.634521484375,10859,0.0,0
2020-07-09,3137.0288832076403,3150.6048969216763,3108.0344914742764,3131.113525390625,9765,0.0,0
2020-07-10,3151.5744543566525,3187.453917375482,3132.18015002215,3176.01123046875,9363,0.0,0
2020-07-13,3190.3145722877516,3363.3602076612874,3190.3145722877516,3296.35302734375,28711,0.0,0
2020-07-14,3326.0260821019556,3345.517452392908,3219.8908004181703,3242.82470703125,24646,0.0,0
2020-07-15,3297.031696056876,3360.0631843638457,3242.72764459241,3260.327880859375,29939,0.0,0
2020-07-16,3297.0317444620255,3298.9226417896202,3229.394107939606,3255.81884765625,25895,0.0,0
2020-07-17,3256.3037605932395,3316.426105190256,3235.1639211113634,3298.050048828125,12686,0.0,0
2020-07-20,3399.0,3399.0,3330.050048828125,3346.5,8924,103.0,0
2020-07-21,3346.0,3350.050048828125,3229.10009765625,3246.35009765625,25986,0.0,0
2020-07-22,3270.0,3277.449951171875,3120.0,3172.5,22969,0.0,0
2020-07-23,3176.0,3224.0,3176.0,3186.300048828125,10112,0.0,0
2020-07-24,3190.0,3235.14990234375,3171.10009765625,3198.14990234375,10378,0.0,0
2020-07-27,3220.0,3237.0,3170.050048828125,3190.300048828125,5794,0.0,0
2020-07-28,3200.0,3225.0,3180.0,3201.949951171875,7060,0.0,0
2020-07-29,3218.0,3240.0,3200.5,3221.60009765625,15713,0.0,0
2020-07-30,3230.0,3266.89990234375,3200.199951171875,3222.699951171875,11307,0.0,0
2020-07-31,3237.949951171875,3263.5,3220.050048828125,3247.64990234375,8339,0.0,0
2020-08-03,3265.0,3300.0,3200.0,3236.35009765625,17683,0.0,0
2020-08-04,3395.0,3649.949951171875,3361.0,3481.699951171875,129011,0.0,0
2020-08-05,3481.699951171875,3508.85009765625,3423.800048828125,3448.85009765625,15575,0.0,0
2020-08-06,3449.0,3540.75,3435.0,3500.89990234375,28476,0.0,0
2020-08-07,3500.0,3511.949951171875,3470.0,3491.60009765625,6489,0.0,0
2020-08-10,3496.10009765625,3521.550048828125,3450.449951171875,3464.0,17432,0.0,0
2020-08-11,3480.0,3480.0,3414.10009765625,3427.39990234375,6492,0.0,0
2020-08-12,3449.89990234375,3449.89990234375,3406.85009765625,3423.35009765625,64091,0.0,0
2020-08-13,3445.0,3454.949951171875,3400.0,3422.449951171875,27151,0.0,0
2020-08-14,3416.0,3437.0,3400.60009765625,3406.64990234375,3784,0.0,0
2020-08-17,3468.89990234375,3468.89990234375,3400.050048828125,3403.75,6281,0.0,0
2020-08-18,3403.0,3418.800048828125,3388.0,3392.699951171875,4559,0.0,0
2020-08-19,3436.0,3475.0,3400.050048828125,3452.89990234375,7935,0.0,0
2020-08-20,3459.0,3468.0,3411.0,3452.199951171875,24310,0.0,0
2020-08-21,3441.0,3500.0,3418.85009765625,3463.14990234375,9988,0.0,0
2020-08-24,3463.449951171875,3570.0,3435.0,3461.550048828125,41313,0.0,0
2020-08-25,3461.550048828125,3493.949951171875,3412.0,3452.800048828125,8092,0.0,0
2020-08-26,3480.0,3515.0,3438.35009765625,3454.0,10556,0.0,0
2020-08-27,3705.0,3807.0,3462.0,3492.35009765625,70461,0.0,0
2020-08-28,3518.0,3518.0,3460.0,3472.5,9080,0.0,0
2020-08-31,3499.0,3499.85009765625,3326.5,3395.39990234375,15636,0.0,0
2020-09-01,3366.0,3414.0,3360.0,3392.60009765625,8733,0.0,0
2020-09-02,3399.949951171875,3408.89990234375,3359.85009765625,3373.85009765625,4726,0.0,0
2020-09-03,3374.0,3399.85009765625,3350.0,3362.64990234375,4048,0.0,0
2020-09-04,3379.949951171875,3379.949951171875,3310.050048828125,3322.85009765625,6586,0.0,0
2020-09-07,3340.0,3340.0,3271.0,3304.25,5614,0.0,0
2020-09-08,3318.89990234375,3352.550048828125,3300.0,3309.449951171875,8693,0.0,0
2020-09-09,3310.0,3350.0,3291.0,3330.699951171875,6336,0.0,0
2020-09-10,3311.0,3425.0,3305.0,3374.449951171875,6067,0.0,0
2020-09-11,3371.0,3448.0,3348.85009765625,3432.949951171875,4830,0.0,0
2020-09-14,3484.0,3585.0,3447.050048828125,3541.199951171875,17707,0.0,0
2020-09-15,3590.0,3590.0,3506.0,3553.64990234375,5094,0.0,0
2020-09-16,3569.949951171875,3577.14990234375,3555.550048828125,3561.699951171875,7318,0.0,0
2020-09-17,3560.0,3680.0,3515.0,3624.35009765625,14657,0.0,0
2020-09-18,3649.0,3720.0,3585.0,3684.75,8950,0.0,0
2020-09-21,3685.25,3700.0,3541.25,3560.35009765625,17669,0.0,0
2020-09-22,3560.0,3560.050048828125,3391.75,3470.60009765625,15020,0.0,0
2020-09-23,3471.39990234375,3582.0,3425.0,3537.64990234375,6818,0.0,0
2020-09-24,3510.0,3510.050048828125,3383.5,3447.699951171875,6929,0.0,0
2020-09-25,3432.39990234375,3540.0,3397.550048828125,3411.949951171875,6464,0.0,0
2020-09-28,3401.0,3414.199951171875,3365.050048828125,3387.050048828125,5258,0.0,0
2020-09-29,3387.10009765625,3398.10009765625,3302.0,3320.0,7253,0.0,0
2020-09-30,3355.0,3376.75,3250.0,3267.64990234375,9356,0.0,0
2020-10-01,3290.0,3409.89990234375,3284.75,3380.0,26957,0.0,0
2020-10-05,3400.0,3440.0,3352.300048828125,3373.800048828125,20241,0.0,0
2020-10-06,3361.10009765625,3411.14990234375,3350.0,3393.699951171875,2522,0.0,0
2020-10-07,3400.0,3400.0,3312.60009765625,3329.199951171875,3076,0.0,0
2020-10-08,3325.0,3379.60009765625,3320.0,3339.85009765625,13564,0.0,0
2020-10-09,3361.89990234375,3380.0,3330.0,3331.75,30869,0.0,0
2020-10-12,3360.0,3360.0,3290.0,3319.75,34377,0.0,0
2020-10-13,3330.0,3359.89990234375,3272.0,3296.949951171875,5941,0.0,0
2020-10-14,3291.0,3315.0,3266.300048828125,3275.800048828125,2714,0.0,0
2020-10-15,3294.949951171875,3324.949951171875,3270.0,3306.300048828125,9198,0.0,0
2020-10-16,3329.949951171875,3375.0,3311.0,3369.25,5016,0.0,0
2020-10-19,3371.10009765625,3450.0,3371.10009765625,3422.0,5668,0.0,0
2020-10-20,3449.0,3582.0,3413.300048828125,3465.64990234375,7545,0.0,0
2020-10-21,3475.0,3493.0,3401.64990234375,3409.85009765625,4257,0.0,0
2020-10-22,3400.85009765625,3400.85009765625,3285.050048828125,3380.39990234375,7264,0.0,0
2020-10-23,3394.0,3450.0,3365.0,3405.35009765625,2732,0.0,0
2020-10-26,3474.0,3474.0,3350.0,3366.10009765625,6282,0.0,0
2020-10-27,3399.0,3525.0,3330.0,3429.10009765625,24121,0.0,0
2020-10-28,3460.0,3497.949951171875,3419.89990234375,3437.25,6670,0.0,0
2020-10-29,3438.0,3439.800048828125,3300.0,3367.949951171875,4245,0.0,0
2020-10-30,3399.0,3425.0,3365.14990234375,3398.699951171875,2855,0.0,0
2020-11-02,3412.0,3449.39990234375,3333.050048828125,3426.550048828125,4473,0.0,0
2020-11-03,3426.550048828125,3426.550048828125,3388.0,3412.89990234375,28800,0.0,0
2020-11-04,3383.0,3423.949951171875,3383.0,3411.449951171875,3833,0.0,0
2020-11-05,3420.050048828125,3471.949951171875,3404.75,3460.699951171875,4696,0.0,0
2020-11-06,3460.0,3478.0,3419.949951171875,3439.39990234375,3300,0.0,0
2020-11-09,3456.39990234375,3480.0,3429.0,3473.050048828125,5507,0.0,0
2020-11-10,3440.0,3473.050048828125,3350.75,3374.39990234375,5950,0.0,0
2020-11-11,3391.10009765625,3450.0,3380.0,3428.25,3342,0.0,0
2020-11-12,3430.0,3471.35009765625,3418.0,3452.14990234375,2683,0.0,0
2020-11-13,3420.0,3485.0,3420.0,3471.0,4441,0.0,0
