Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01,125.8499984741211,126.0,121.5,124.9000015258789,50008,0,0
2020-07-02,126.94999694824219,132.3000030517578,125.19999694824219,129.25,171823,0,0
2020-07-03,129.9499969482422,130.35000610351562,126.6500015258789,127.55000305175781,55372,0,0
2020-07-06,131.9499969482422,131.9499969482422,125.75,127.3499984741211,63324,0,0
2020-07-07,127.3499984741211,128.8000030517578,126.05000305175781,127.0999984741211,56790,0,0
2020-07-08,129.60000610351562,133.5,127.0999984741211,129.0,208890,0,0
2020-07-09,128.60000610351562,132.0,128.3000030517578,129.0,76876,0,0
2020-07-10,128.10000610351562,130.3000030517578,126.25,126.80000305175781,74592,0,0
2020-07-13,128.85000610351562,129.5,126.30000305175781,128.39999389648438,86484,0,0
2020-07-14,128.89999389648438,129.25,124.0,124.25,100582,0,0
2020-07-15,125.0,139.0,123.05000305175781,131.6999969482422,928144,0,0
2020-07-16,137.0,140.0,133.0,137.1999969482422,730255,0,0
2020-07-17,137.10000610351562,141.6999969482422,135.0,138.14999389648438,396754,0,0
2020-07-20,138.89999389648438,142.0,138.0500030517578,138.75,248719,0,0
2020-07-21,140.0,146.89999389648438,139.64999389648438,142.9499969482422,710012,0,0
2020-07-22,144.0500030517578,145.25,138.10000610351562,140.5500030517578,771376,0,0
2020-07-23,144.75,149.85000610351562,137.0,140.35000610351562,791424,0,0
2020-07-24,145.5,146.0,138.25,144.39999389648438,677654,0,0
2020-07-27,145.0,149.6999969482422,139.0,147.4499969482422,528976,0,0
2020-07-28,148.8000030517578,153.39999389648438,148.0,150.6999969482422,575308,0,0
2020-07-29,152.5,160.75,149.3000030517578,158.9499969482422,671337,0,0
2020-07-30,159.0,169.8000030517578,159.0,168.60000610351562,1049219,0,0
2020-07-31,168.8000030517578,170.25,158.0,159.9499969482422,372174,0,0
2020-08-03,160.0,167.35000610351562,160.0,166.6999969482422,338009,0,0
2020-08-04,167.8000030517578,177.39999389648438,167.8000030517578,174.25,458279,0,0
2020-08-05,175.3000030517578,181.39999389648438,174.5500030517578,176.85000610351562,364639,0,0
2020-08-06,177.9499969482422,181.0,172.0500030517578,176.0,277738,0,0
2020-08-07,176.0,177.8000030517578,171.3000030517578,172.39999389648438,206106,0,0
2020-08-10,175.64999389648438,176.9499969482422,171.0,171.9499969482422,175002,0,0
2020-08-11,173.8000030517578,176.5,170.3000030517578,175.0500030517578,660136,0,0
2020-08-12,175.8000030517578,176.8000030517578,173.0,175.1999969482422,150658,0,0
2020-08-13,176.85000610351562,176.9499969482422,172.1999969482422,172.8000030517578,79673,0,0
2020-08-14,173.8000030517578,175.0,172.39999389648438,173.4499969482422,700348,0,0
2020-08-17,175.8000030517578,175.89999389648438,171.64999389648438,172.8000030517578,133107,0,0
2020-08-18,172.8000030517578,186.0,172.10000610351562,182.8000030517578,674668,0,0
2020-08-19,183.89999389648438,184.4499969482422,179.64999389648438,181.4499969482422,276848,0,0
2020-08-20,180.9499969482422,180.9499969482422,176.10000610351562,179.64999389648438,234506,0,0
2020-08-21,181.3000030517578,184.5500030517578,178.60000610351562,179.5500030517578,272602,0,0
2020-08-24,181.10000610351562,181.75,178.6999969482422,180.5500030517578,197173,0,0
