Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,50.189998626708984,50.36000061035156,49.83000183105469,50.11000061035156,2373000,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,49.95000076293945,50.189998626708984,49.36000061035156,49.4900016784668,2719300,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,49.52000045776367,49.95000076293945,49.290000915527344,49.810001373291016,2128600,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,49.9900016784668,50.58000183105469,49.970001220703125,50.56999969482422,2156800,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,50.459999084472656,50.66999816894531,49.900001525878906,50.040000915527344,1877600,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,49.790000915527344,50.650001525878906,49.65999984741211,50.36000061035156,1589700,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,50.63999938964844,50.66999816894531,49.61000061035156,49.84000015258789,2517500,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,49.84000015258789,49.84000015258789,48.849998474121094,49.20000076293945,3436400,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,48.93000030517578,49.900001525878906,48.56999969482422,49.810001373291016,2868600,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,50.279998779296875,50.33000183105469,48.689998626708984,48.689998626708984,2175700,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,48.9900016784668,49.84000015258789,48.630001068115234,49.56999969482422,1861100,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,49.5,49.709999084472656,48.810001373291016,49.20000076293945,1937200,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,49.790000915527344,49.84000015258789,48.93000030517578,49.380001068115234,3056400,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,49.310001373291016,49.83000183105469,48.93000030517578,49.68000030517578,5635200,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,49.02000045776367,49.4900016784668,48.72999954223633,49.369998931884766,1859000,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,49.27000045776367,49.45000076293945,48.689998626708984,48.72999954223633,1600100,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,49.02000045776367,49.560001373291016,48.84000015258789,49.349998474121094,1692900,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,49.40999984741211,49.5,49.02000045776367,49.439998626708984,411600,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,49.79999923706055,49.970001220703125,49.4900016784668,49.70000076293945,1205600,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,49.849998474121094,49.93000030517578,49.099998474121094,49.45000076293945,1354200,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,49.45000076293945,50.18000030517578,49.34000015258789,49.90999984741211,1533200,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,50.040000915527344,50.5099983215332,49.79999923706055,50.40999984741211,1698900,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,50.400001525878906,51.029998779296875,49.36000061035156,49.869998931884766,3085900,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,49.900001525878906,51.15999984741211,49.72999954223633,50.84000015258789,3080200,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,51.22999954223633,53.56999969482422,51.13999938964844,52.900001525878906,3366900,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,53.0,53.33000183105469,52.31999969482422,52.43000030517578,2863000,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,52.619998931884766,53.11000061035156,51.70000076293945,52.56999969482422,2909100,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,51.83000183105469,52.47999954223633,51.68000030517578,52.040000915527344,2238800,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,52.15999984741211,52.15999984741211,51.38999938964844,51.400001525878906,2523100,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,51.27000045776367,52.33000183105469,50.88999938964844,51.77000045776367,4196700,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,52.36000061035156,53.380001068115234,52.15999984741211,52.869998931884766,2373900,0,0,2021-01-14,2021-01-14 00:00:00
