Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,44.939998626708984,45.130001068115234,44.400001525878906,44.70000076293945,4043100,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,44.54999923706055,45.54999923706055,44.290000915527344,45.310001373291016,3684400,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,45.27000045776367,45.7400016784668,45.130001068115234,45.689998626708984,2917800,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,45.40999984741211,46.349998474121094,45.29999923706055,46.290000915527344,4836300,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,46.0,46.0,45.040000915527344,45.16999816894531,3582200,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,44.90999984741211,45.54999923706055,44.599998474121094,45.2400016784668,3426600,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,45.540000915527344,45.66999816894531,44.959999084472656,45.119998931884766,3842800,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,44.599998474121094,45.5099983215332,44.560001373291016,45.349998474121094,2881200,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,44.689998626708984,45.060001373291016,44.52000045776367,44.84000015258789,3314600,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,45.4900016784668,45.56999969482422,44.189998626708984,44.20000076293945,3198200,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,44.83000183105469,45.099998474121094,44.189998626708984,44.869998931884766,2958000,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,44.9900016784668,45.22999954223633,44.52000045776367,44.68000030517578,3282400,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,44.849998474121094,45.0,44.470001220703125,44.810001373291016,3037300,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,44.84000015258789,45.150001525878906,43.52000045776367,43.88999938964844,10298600,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,43.77000045776367,43.869998931884766,42.72999954223633,43.59000015258789,4155700,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,43.599998474121094,43.75,43.0,43.029998779296875,4044500,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,43.41999816894531,43.900001525878906,43.13999938964844,43.529998779296875,5450700,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,43.66999816894531,43.93000030517578,43.380001068115234,43.84000015258789,1383500,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,44.08000183105469,44.75,43.90999984741211,43.91999816894531,2282700,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,44.15999984741211,44.31999969482422,43.70000076293945,43.75,2386700,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,43.869998931884766,44.47999954223633,43.83000183105469,44.0099983215332,1954500,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,44.0099983215332,44.63999938964844,43.900001525878906,44.470001220703125,2159000,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,44.599998474121094,44.70000076293945,43.029998779296875,43.189998626708984,3111200,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,43.33000183105469,43.70000076293945,42.959999084472656,43.2599983215332,2561700,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,43.90999984741211,45.20000076293945,43.540000915527344,44.93000030517578,3842900,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,45.18000030517578,45.2599983215332,44.45000076293945,44.68000030517578,4217400,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,44.91999816894531,44.9900016784668,43.720001220703125,44.4900016784668,2915700,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,44.220001220703125,44.81999969482422,44.0,44.5099983215332,2479000,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,46.209999084472656,46.540000915527344,45.2599983215332,46.18000030517578,5828100,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,45.93000030517578,46.560001373291016,45.630001068115234,46.09000015258789,4059800,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,46.349998474121094,47.0,46.189998626708984,46.869998931884766,2868300,0,0,2021-01-14,2021-01-14 00:00:00
