Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,61.9900016784668,62.38999938964844,60.97999954223633,61.63999938964844,1497900,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,61.290000915527344,62.2400016784668,61.119998931884766,61.849998474121094,1802900,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,61.97999954223633,64.18000030517578,61.400001525878906,63.779998779296875,2233700,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,63.7599983215332,65.91000366210938,63.7400016784668,65.73999786376953,1871300,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,65.08000183105469,66.3499984741211,64.76000213623047,66.27999877929688,1983200,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,65.77999877929688,66.9000015258789,65.62999725341797,66.75,2692600,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,67.30999755859375,67.69999694824219,65.33000183105469,66.0999984741211,2888700,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,65.44999694824219,66.55999755859375,64.8499984741211,66.33000183105469,2279300,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,65.66000366210938,66.41999816894531,65.25,66.1500015258789,2189400,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,66.69000244140625,66.88999938964844,64.91999816894531,65.12999725341797,2251500,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,65.69999694824219,66.16999816894531,65.08999633789062,66.12999725341797,1922400,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,66.12000274658203,66.56999969482422,64.87999725341797,65.83000183105469,3172200,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,66.0199966430664,66.0199966430664,63.65999984741211,64.41000366210938,2668100,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,64.41999816894531,64.41999816894531,62.31999969482422,63.290000915527344,6249300,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,62.369998931884766,63.099998474121094,61.349998474121094,62.38999938964844,2423400,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,62.65999984741211,62.900001525878906,61.790000915527344,62.56999969482422,1896700,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,62.7599983215332,63.84000015258789,62.7400016784668,62.75,1063200,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,62.9900016784668,63.040000915527344,62.150001525878906,62.93000030517578,393600,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,63.2599983215332,63.2599983215332,62.529998779296875,62.970001220703125,863400,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,63.11000061035156,63.400001525878906,61.709999084472656,62.11000061035156,702100,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,62.16999816894531,62.97999954223633,62.16999816894531,62.400001525878906,639400,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,62.619998931884766,62.970001220703125,61.720001220703125,62.720001220703125,838500,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,62.7400016784668,62.93000030517578,59.25,59.5,2671700,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,59.130001068115234,60.29999923706055,58.7400016784668,59.41999816894531,2153700,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,59.93000030517578,61.38999938964844,59.880001068115234,60.61000061035156,2241500,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,60.810001373291016,61.630001068115234,60.43000030517578,61.5,2782300,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,61.970001220703125,63.09000015258789,61.45000076293945,62.63999938964844,1381900,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,62.0099983215332,62.720001220703125,61.709999084472656,62.2400016784668,1771300,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,62.119998931884766,63.13999938964844,61.7599983215332,63.040000915527344,1182800,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,63.029998779296875,63.63999938964844,61.779998779296875,61.810001373291016,1251600,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,62.18000030517578,63.0,61.66999816894531,62.2599983215332,1579700,0,0,2021-01-14,2021-01-14 00:00:00
