Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,150.67376092770783,152.39500338977152,148.5744362948755,151.8577423095703,2197200,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,150.8528485116768,152.52435616643086,150.02704621305693,152.4049530029297,2082900,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,151.95722672048402,153.3600961773921,151.07173046685244,153.2108612060547,2002000,0.0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,153.92722209714526,154.65352427287132,153.05166976591323,154.6336212158203,1457100,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,153.10143055429333,154.1461058081737,150.95235568960703,151.5692138671875,1260500,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,151.07174207209383,152.63380573948135,150.3752868497111,151.62890625,1525400,0.0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,152.76313616402658,153.4695504993831,150.78321456423603,152.25572204589844,2088900,0.0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,151.33042770889867,153.98691652332698,151.0020955837557,152.9024200439453,1997100,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,151.698549249588,153.4396947802587,151.698549249588,152.96212768554688,1504500,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,154.74306434658067,154.74306434658067,149.9773069678543,150.09669494628906,1639100,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,151.4398782536499,153.648631876722,149.99720259230583,153.6088409423828,1825200,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,153.7580718846522,153.87747504770363,151.34037417044195,153.3800048828125,1563300,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,153.6999969482422,154.17999267578125,152.42999267578125,153.41000366210938,1671300,0.78,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,153.63999938964844,154.33999633789062,151.1999969482422,152.36000061035156,3609400,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,152.92999267578125,153.0,149.5,151.75,1638800,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,149.16000366210938,151.22999572753906,149.16000366210938,150.1699981689453,1523300,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,151.17999267578125,151.9199981689453,150.38999938964844,151.05999755859375,965100,0.0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,151.32000732421875,151.32000732421875,149.60000610351562,150.8300018310547,422400,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,151.58999633789062,153.02999877929688,150.77000427246094,151.8800048828125,865900,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,153.00999450683594,153.00999450683594,150.6699981689453,150.89999389648438,727400,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,151.6300048828125,152.67999267578125,151.30999755859375,151.92999267578125,675300,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,152.36000061035156,154.1199951171875,150.6199951171875,153.9199981689453,1220300,0.0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,152.44000244140625,153.50999450683594,148.41000366210938,149.72999572753906,1799100,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,149.99000549316406,151.19000244140625,148.38999938964844,149.85000610351562,946900,0.0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,151.6199951171875,157.3800048828125,151.5,156.97999572753906,1718800,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,157.9499969482422,157.99000549316406,155.2100067138672,155.86000061035156,1410100,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,156.41000366210938,157.30999755859375,153.3300018310547,155.39999389648438,1287700,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,154.58999633789062,155.4499969482422,153.6199951171875,154.1300048828125,1471200,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,154.32000732421875,156.72999572753906,154.05999755859375,156.61000061035156,1064900,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,155.6699981689453,157.97999572753906,155.3800048828125,157.1199951171875,1113100,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,157.42999267578125,157.6300048828125,155.63999938964844,155.82000732421875,934900,0.0,0,2021-01-14,2021-01-14 00:00:00
