Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,37.900001525878906,38.150001525878906,37.38999938964844,37.5,2424300,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,37.33000183105469,38.25,37.25,37.849998474121094,2798800,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,38.08000183105469,38.65999984741211,37.81999969482422,38.130001068115234,2267300,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,38.38999938964844,39.900001525878906,38.20000076293945,39.56999969482422,2861600,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,39.2599983215332,39.369998931884766,38.0,38.27000045776367,1981100,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,37.95000076293945,38.709999084472656,37.900001525878906,38.52000045776367,1624500,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,38.90999984741211,39.41999816894531,38.54999923706055,39.060001373291016,1778700,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,38.59000015258789,39.34000015258789,38.54999923706055,39.11000061035156,1793700,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,38.65999984741211,39.459999084472656,38.619998931884766,39.369998931884766,1696700,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,39.65999984741211,40.060001373291016,38.779998779296875,38.81999969482422,2477900,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,39.400001525878906,39.40999984741211,38.02000045776367,38.349998474121094,2553900,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,38.54999923706055,38.54999923706055,37.06999969482422,37.779998779296875,2179400,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,38.119998931884766,38.15999984741211,37.45000076293945,37.540000915527344,1855700,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,37.4900016784668,37.720001220703125,36.970001220703125,37.63999938964844,4424600,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,36.88999938964844,37.650001525878906,36.65999984741211,37.540000915527344,1692300,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,37.61000061035156,37.61000061035156,36.209999084472656,36.220001220703125,1723700,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,36.5099983215332,37.09000015258789,36.29999923706055,36.77000045776367,1263800,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,36.709999084472656,36.88999938964844,36.38999938964844,36.810001373291016,255800,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,37.0099983215332,38.56999969482422,37.0099983215332,37.20000076293945,1606300,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,37.31999969482422,37.77000045776367,36.63999938964844,36.95000076293945,1073100,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,36.849998474121094,38.2599983215332,36.849998474121094,37.970001220703125,1388200,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,37.93000030517578,39.20000076293945,37.58000183105469,38.709999084472656,1556400,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,39.0,39.599998474121094,38.060001373291016,38.529998779296875,2668100,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,38.70000076293945,40.4900016784668,38.70000076293945,40.06999969482422,2632200,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,40.880001068115234,43.29999923706055,40.34000015258789,42.70000076293945,4689000,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,43.5,43.97999954223633,42.58000183105469,42.77000045776367,3248200,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,43.04999923706055,43.2599983215332,42.13999938964844,43.15999984741211,3449300,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,42.15999984741211,43.459999084472656,41.900001525878906,43.11000061035156,2159500,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,43.52000045776367,45.959999084472656,42.95000076293945,45.7400016784668,3698600,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,46.20000076293945,47.0,44.970001220703125,45.290000915527344,2976800,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,45.369998931884766,45.95000076293945,45.290000915527344,45.29999923706055,2216200,0,0,2021-01-14,2021-01-14 00:00:00
