Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,85.76000213623047,86.33999633789062,85.37999725341797,86.26000213623047,3372300,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,86.06999969482422,86.37999725341797,85.25,85.73999786376953,2740100,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,85.5199966430664,85.7300033569336,84.41000366210938,85.19000244140625,3842100,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,85.23999786376953,85.68000030517578,84.41999816894531,85.02999877929688,3142600,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,84.80000305175781,85.86000061035156,84.75,85.38999938964844,2966800,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,84.47000122070312,85.44000244140625,84.19000244140625,85.16999816894531,2664500,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,85.16000366210938,85.33999633789062,84.38999938964844,84.75,2582900,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,84.88999938964844,85.3499984741211,84.38999938964844,84.58999633789062,2856500,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,84.16000366210938,85.08999633789062,84.1500015258789,84.68000030517578,2610200,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,85.08000183105469,85.44999694824219,84.13999938964844,84.19000244140625,2684400,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,84.51000213623047,85.06999969482422,84.20999908447266,84.75,2555800,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,85.13999938964844,85.76000213623047,84.63999938964844,85.04000091552734,2862000,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,85.5,86.05000305175781,85.33999633789062,85.66000366210938,3086500,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,85.66000366210938,86.19999694824219,84.95999908447266,85.93000030517578,6089800,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,85.05000305175781,85.48999786376953,84.37000274658203,85.30999755859375,2757900,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,85.19999694824219,85.41999816894531,84.2699966430664,84.4000015258789,2341500,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,84.58999633789062,84.95999908447266,84.19999694824219,84.43000030517578,2690400,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,84.62000274658203,85.0999984741211,84.48999786376953,85.04000091552734,733200,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,85.27999877929688,85.68000030517578,84.9800033569336,85.41000366210938,1225800,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,85.83000183105469,86.20999908447266,84.91999816894531,85.02999877929688,2390900,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,85.18000030517578,85.33999633789062,84.55000305175781,84.7300033569336,2158000,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,84.95999908447266,85.5999984741211,84.52999877929688,85.51000213623047,1893100,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,84.77999877929688,85.55999755859375,83.52999877929688,84.33000183105469,3506000,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,84.33000183105469,84.81999969482422,83.37000274658203,84.5199966430664,2559300,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,84.16000366210938,84.79000091552734,81.87000274658203,82.25,9053900,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,81.91000366210938,82.55000305175781,81.13999938964844,81.80000305175781,5061000,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,82.08999633789062,82.61000061035156,81.81999969482422,82.3499984741211,5569300,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,82.3499984741211,83.05999755859375,82.0999984741211,82.13999938964844,4430800,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,81.87999725341797,82.75,81.8499984741211,82.26000213623047,4359800,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,82.25,82.93000030517578,82.25,82.48999786376953,4069400,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,82.7699966430664,82.77999877929688,81.62000274658203,81.94000244140625,3732500,0,0,2021-01-14,2021-01-14 00:00:00
