Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,50.5189067707287,51.0365393746006,49.88182165744845,50.78767776489258,14370000,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,50.69808670739038,51.10621958957305,50.57863419969287,50.81753921508789,14438000,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,50.538817665132434,51.4844925697422,50.44922733106778,51.35508346557617,14677200,0.0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,51.514352328371274,51.67362360396689,51.25553792952593,51.45462417602539,12258100,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,51.345130109817205,51.783125184158436,51.00667816231315,51.69353485107422,12195900,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,51.066403600078395,51.56412683945017,50.9768132650984,51.1759033203125,13352400,0.0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,51.38494596372914,52.121578025873525,50.91708870277545,51.02658462524414,17327400,0.0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,51.046493745306236,51.046493745306236,50.021185096775646,50.25013732910156,17304100,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,50.339724471013405,50.877266441861465,49.90172941920759,50.69808578491211,19640200,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,50.61845062150786,51.036540106422336,50.51890749512801,50.757816314697266,14005700,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,51.1460387287041,51.86275757741184,51.066401191443916,51.27544403076172,18870100,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,51.44467384269333,51.8328973581894,50.77772273358124,51.1958122253418,13129800,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,51.30530981121936,51.64376174863732,50.847405365691166,51.126129150390625,13464900,0.0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,51.32521882051369,51.36503379137506,50.17050112434562,50.6682243347168,31640400,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,50.28995492998901,50.419364031278135,49.25468971432965,50.1406364440918,19672400,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,49.77232312849711,50.08091289893148,49.573233076517745,49.792232513427734,13739800,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,49.92164113585708,50.04109364696311,49.42391790936729,49.81214141845703,12934200,0.0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,49.971412140634854,50.21031716017727,49.8619124244584,50.15059280395508,3875300,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,50.548770586697124,51.12613136264501,50.29990896892516,50.87726974487305,13510700,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,50.927038347245905,51.49444249898184,50.80758584091379,51.31526184082031,11245200,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,51.45462428310345,51.693533095657415,50.95690107116554,50.976810455322266,9954000,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,51.126130796779826,52.24102976880697,51.006678284822925,52.16139602661133,11651200,0.0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,52.041939460608916,52.16139576930343,49.394052041776966,50.279998779296875,22302100,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,50.15999984741211,50.29999923706055,49.20000076293945,49.97999954223633,17854600,0.23,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,49.119998931884766,50.77000045776367,49.099998474121094,50.560001373291016,22552600,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,50.20000076293945,50.97999954223633,50.099998474121094,50.65999984741211,20230800,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,50.36000061035156,51.65999984741211,50.310001373291016,51.540000915527344,22140400,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,51.7400016784668,51.7400016784668,50.72999954223633,51.52000045776367,18795700,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,51.290000915527344,51.54999923706055,49.61000061035156,50.0099983215332,20999500,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,49.619998931884766,50.380001068115234,49.52000045776367,50.15999984741211,16227000,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,50.15999984741211,50.27000045776367,49.439998626708984,49.58000183105469,18806000,0.0,0,2021-01-14,2021-01-14 00:00:00
