Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,54.43000030517578,54.43000030517578,52.900001525878906,53.529998779296875,4328700,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,53.31999969482422,53.564998626708984,52.689998626708984,53.20000076293945,3723000,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,52.9900016784668,53.888999938964844,52.79999923706055,53.599998474121094,3213800,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,53.810001373291016,55.099998474121094,53.79999923706055,55.04999923706055,3294500,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,54.93000030517578,54.939998626708984,53.02000045776367,53.209999084472656,3602700,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,52.900001525878906,54.66999816894531,52.79999923706055,54.54999923706055,3161500,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,54.939998626708984,55.75,54.349998474121094,54.65999984741211,3219100,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,54.65999984741211,55.11000061035156,54.040000915527344,54.43000030517578,3402000,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,54.290000915527344,54.45000076293945,53.56999969482422,54.0,2674800,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,54.599998474121094,54.7599983215332,53.029998779296875,53.060001373291016,3121900,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,53.849998474121094,54.150001525878906,53.150001525878906,54.130001068115234,2335500,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,54.029998779296875,54.11000061035156,53.2400016784668,53.83000183105469,1948800,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,54.20000076293945,54.33000183105469,53.584999084472656,53.83000183105469,2222300,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,55.11000061035156,55.75,54.2400016784668,55.65999984741211,11536700,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,54.04999923706055,55.20000076293945,53.72999954223633,55.08000183105469,4458800,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,55.0099983215332,55.27000045776367,54.439998626708984,54.66999816894531,2268300,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,55.02000045776367,55.77000045776367,54.72999954223633,54.75,2251600,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,54.91999816894531,54.96799850463867,54.334999084472656,54.790000915527344,1074700,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,55.27000045776367,55.77000045776367,54.18000030517578,54.290000915527344,3668200,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,54.5,54.81999969482422,53.849998474121094,54.33000183105469,2222000,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,54.349998474121094,55.65999984741211,54.29999923706055,55.470001220703125,3790000,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,55.470001220703125,56.099998474121094,55.11000061035156,55.5,2661800,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,55.81999969482422,56.12099838256836,53.650001525878906,54.040000915527344,4852800,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,54.13999938964844,56.16999816894531,54.0,55.79999923706055,3112800,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,56.95000076293945,59.209999084472656,56.54999923706055,58.43000030517578,6208400,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,59.0,59.77000045776367,58.10499954223633,58.5099983215332,4437600,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,58.369998931884766,58.86000061035156,57.75,58.209999084472656,4063500,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,57.70000076293945,58.95000076293945,57.25,58.86000061035156,3455900,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,59.31999969482422,61.209999084472656,59.0,61.040000915527344,6235700,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,60.75,61.310001373291016,59.65999984741211,60.029998779296875,3236300,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,60.209999084472656,60.5,59.41999816894531,59.650001525878906,3578800,0,0,2021-01-14,2021-01-14 00:00:00
