Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,34.528652201741814,34.63804657625997,33.673391230425715,33.7728385925293,862300,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,33.41482454540686,33.67339377630321,33.11647864286597,33.3651008605957,1423300,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,33.41482182296777,33.98168012971344,33.28554101172659,33.59383010864258,726700,0.0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,33.88223466619222,35.6524235973895,33.88223466619222,35.383914947509766,760400,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,34.90655628474669,35.97065902536593,34.598267176553,35.135292053222656,1047300,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,34.67782612774213,35.702152252197266,34.67782612774213,35.702152252197266,719700,0.0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,35.901045342035886,36.4082367711566,35.60269945096867,36.15961456298828,738700,0.0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,35.81154117640426,36.65685895993368,35.71209381065907,36.53752136230469,723200,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,35.81153987884306,37.15410202980096,35.81153987884306,36.885589599609375,1013000,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,37.5717881964788,37.64140211370304,36.56735610961914,36.56735610961914,1166100,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,38.97401527068543,39.02374274634453,37.28338732114131,37.51211929321289,1381500,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,37.5916789891087,37.5916789891087,36.527576188629276,37.1043815612793,879000,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,37.2038266964997,37.49222936549496,36.6866920535794,37.40272521972656,654400,0.0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,37.42261637189452,37.8204096344589,36.806030555357836,37.07454299926758,1961600,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,36.06016246875973,36.95520391243382,35.54303162760774,36.865699768066406,665600,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,36.78614308463414,36.895533668039974,35.990548994481976,36.09000015258789,866100,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,36.59000015258789,37.27000045776367,36.400001525878906,36.75,479400,0.2,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,36.83000183105469,36.84000015258789,36.310001373291016,36.68000030517578,148000,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,36.900001525878906,37.439998626708984,36.63999938964844,36.689998626708984,413300,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,36.77000045776367,36.90999984741211,36.119998931884766,36.36000061035156,487600,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,36.400001525878906,36.959999084472656,36.15999984741211,36.83000183105469,332900,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,36.779998779296875,36.970001220703125,36.220001220703125,36.849998474121094,374500,0.0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,35.95000076293945,36.619998931884766,34.650001525878906,34.77000045776367,1062100,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,35.04999923706055,36.34000015258789,35.02000045776367,36.130001068115234,790000,0.0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,37.119998931884766,38.34000015258789,36.97999954223633,37.790000915527344,1138800,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,37.90999984741211,37.9900016784668,37.13999938964844,37.72999954223633,1000700,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,37.880001068115234,37.88999938964844,36.439998626708984,36.97999954223633,718200,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,36.16999816894531,37.38999938964844,36.02000045776367,37.25,582100,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,37.54999923706055,38.349998474121094,37.29999923706055,37.84000015258789,796100,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,37.970001220703125,38.040000915527344,36.97999954223633,37.06999969482422,534600,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,37.34000015258789,38.849998474121094,37.06999969482422,38.560001373291016,1076100,0.0,0,2021-01-14,2021-01-14 00:00:00
