Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,131.4499969482422,132.75,130.5800018310547,131.41000366210938,1013200,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,131.08999633789062,132.3699951171875,130.22999572753906,131.67999267578125,534100,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,131.5,131.97999572753906,129.5399932861328,129.80999755859375,651500,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,131.30999755859375,131.72000122070312,129.39999389648438,129.49000549316406,704000,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,129.27999877929688,130.22999572753906,128.75,130.1300048828125,1003000,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,129.5,130.27000427246094,129.0,130.1300048828125,749300,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,130.77000427246094,131.05999755859375,128.92999267578125,129.77000427246094,722000,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,128.64999389648438,130.50999450683594,128.60000610351562,130.32000732421875,780900,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,128.86000061035156,130.38999938964844,128.72999572753906,129.6300048828125,645500,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,131.36000061035156,131.49000549316406,129.1999969482422,129.25999450683594,770500,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,130.5399932861328,134.2100067138672,130.2899932861328,134.16000366210938,1017400,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,134.19000244140625,135.77999877929688,133.52999877929688,135.27999877929688,1417500,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,135.49000549316406,138.3300018310547,134.61000061035156,138.10000610351562,920200,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,138.16000366210938,138.3000030517578,134.9199981689453,135.77999877929688,1912700,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,135.8699951171875,136.63999938964844,133.07000732421875,135.75,972300,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,136.22000122070312,137.85000610351562,135.57000732421875,136.64999389648438,854700,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,137.58999633789062,140.55999755859375,137.22000122070312,140.4600067138672,625900,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,140.5,140.80999755859375,139.1300048828125,140.52999877929688,185700,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,141.97999572753906,143.22999572753906,140.74000549316406,142.6699981689453,684600,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,142.4499969482422,143.00999450683594,141.02999877929688,142.39999389648438,653500,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,142.8800048828125,145.02000427246094,142.6199951171875,144.80999755859375,707800,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,144.8699951171875,147.24000549316406,143.7100067138672,146.92999267578125,683800,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,147.25,147.94000244140625,144.02999877929688,147.22000122070312,1012500,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,146.72999572753906,149.16000366210938,145.8000030517578,148.6699981689453,843200,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,152.0,157.27000427246094,151.6699981689453,156.14999389648438,1651100,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,158.1199951171875,161.16000366210938,158.1199951171875,160.1199951171875,1154500,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,160.0800018310547,162.16000366210938,159.0800018310547,161.88999938964844,853200,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,160.3800048828125,163.99000549316406,158.66000366210938,163.6300048828125,926300,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,164.22000122070312,164.9199981689453,161.9600067138672,163.3000030517578,1241800,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,162.66000366210938,162.83999633789062,160.63999938964844,161.25,1926400,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,164.4199981689453,166.82000732421875,157.35000610351562,158.0399932861328,1685800,0,0,2021-01-14,2021-01-14 00:00:00
