Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,21.25,21.850000381469727,21.1200008392334,21.649999618530273,12936000,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,21.389999389648438,21.459999084472656,20.729999542236328,20.920000076293945,11925900,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,20.959999084472656,21.559999465942383,20.760000228881836,21.200000762939453,8900800,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,21.209999084472656,21.489999771118164,20.90999984741211,21.469999313354492,10047900,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,21.450000762939453,21.59000015258789,20.760000228881836,21.270000457763672,9787000,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,21.0,21.68000030517578,20.81999969482422,21.489999771118164,7235000,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,21.6200008392334,22.100000381469727,21.3700008392334,21.809999465942383,8124000,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,21.600000381469727,22.1200008392334,21.389999389648438,21.6299991607666,6451700,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,21.549999237060547,21.56999969482422,20.760000228881836,20.850000381469727,6214600,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,20.979999542236328,21.030000686645508,20.280000686645508,20.34000015258789,9334500,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,20.43000030517578,20.860000610351562,20.3799991607666,20.690000534057617,6010500,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,20.65999984741211,20.920000076293945,20.010000228881836,20.329999923706055,7516500,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,20.3700008392334,20.790000915527344,20.1200008392334,20.75,5985500,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,20.639999389648438,20.75,20.020000457763672,20.209999084472656,9393600,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,19.600000381469727,20.600000381469727,19.549999237060547,20.399999618530273,6514700,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,20.469999313354492,20.670000076293945,20.030000686645508,20.06999969482422,5364100,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,20.049999237060547,20.84000015258789,20.020000457763672,20.700000762939453,7581400,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,20.729999542236328,20.729999542236328,20.270000457763672,20.43000030517578,2149900,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,20.5,20.799999237060547,20.260000228881836,20.309999465942383,4569300,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,20.350000381469727,20.389999389648438,19.920000076293945,20.079999923706055,6297100,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,20.010000228881836,20.549999237060547,19.959999084472656,20.479999542236328,4726100,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,20.389999389648438,20.510000228881836,20.15999984741211,20.190000534057617,3466500,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,20.020000457763672,20.1200008392334,19.100000381469727,19.219999313354492,13382400,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,19.25,19.93000030517578,19.18000030517578,19.75,7302600,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,19.799999237060547,21.649999618530273,19.75,21.40999984741211,12803300,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,21.600000381469727,21.899999618530273,21.31999969482422,21.5,7854100,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,21.579999923706055,21.90999984741211,21.209999084472656,21.420000076293945,9575300,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,20.979999542236328,22.399999618530273,20.940000534057617,22.389999389648438,8205100,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,22.350000381469727,23.59000015258789,22.270000457763672,23.299999237060547,11394900,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,22.760000228881836,22.780000686645508,21.989999771118164,22.229999542236328,9731900,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,22.299999237060547,22.770000457763672,22.1299991607666,22.389999389648438,8414600,0,0,2021-01-14,2021-01-14 00:00:00
