Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,48.75,50.22999954223633,48.709999084472656,49.560001373291016,57778200,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,49.220001220703125,50.060001373291016,49.18000030517578,49.900001525878906,33753500,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,49.91999816894531,51.11000061035156,49.779998779296875,50.9900016784668,50261200,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,51.060001373291016,52.650001525878906,51.0,51.9900016784668,39767700,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,51.0,51.290000915527344,49.560001373291016,50.20000076293945,51040300,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,49.83000183105469,50.720001220703125,49.810001373291016,50.689998626708984,28956500,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,50.279998779296875,50.84000015258789,49.72999954223633,50.06999969482422,34068400,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,49.65999984741211,50.720001220703125,49.59000015258789,50.2599983215332,33706000,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,50.13999938964844,50.13999938964844,49.119998931884766,49.72999954223633,29398800,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,49.81999969482422,51.34000015258789,49.7400016784668,50.470001220703125,33436400,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,50.97999954223633,51.0099983215332,50.209999084472656,50.66999816894531,25473000,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,50.709999084472656,51.459999084472656,50.68000030517578,51.119998931884766,28351000,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,51.150001525878906,51.31999969482422,50.220001220703125,50.650001525878906,26399000,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,50.56999969482422,50.68000030517578,47.11000061035156,47.459999084472656,119298400,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,46.31999969482422,46.45000076293945,45.2400016784668,46.36000061035156,53775700,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,46.25,46.34000015258789,45.77000045776367,46.16999816894531,32171200,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,46.16999816894531,47.029998779296875,46.06999969482422,46.56999969482422,22564200,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,46.599998474121094,47.09000015258789,46.34000015258789,47.06999969482422,11865600,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,47.189998626708984,47.63999938964844,46.86000061035156,47.06999969482422,21269200,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,47.220001220703125,50.66999816894531,46.4900016784668,49.38999938964844,84531400,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,49.11000061035156,49.189998626708984,48.560001373291016,48.75,37385400,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,48.75,50.189998626708984,48.720001220703125,49.81999969482422,28565500,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,49.88999938964844,51.38999938964844,49.400001525878906,49.66999816894531,46102500,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,49.45000076293945,50.83000183105469,49.33000183105469,50.61000061035156,24866600,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,50.439998626708984,52.150001525878906,50.20000076293945,51.099998474121094,36809600,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,51.4900016784668,52.689998626708984,51.29999923706055,52.189998626708984,32092300,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,52.45000076293945,52.529998779296875,51.27000045776367,51.650001525878906,34625400,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,51.290000915527344,52.2400016784668,51.25,51.540000915527344,32933300,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,51.900001525878906,53.849998474121094,51.560001373291016,53.2400016784668,39883900,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,59.5,60.25,56.900001525878906,56.95000076293945,124070700,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,58.45000076293945,60.13999938964844,57.84000015258789,59.25,74680900,0,0,2021-01-14,2021-01-14 00:00:00
