Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,254.4600067138672,258.7200012207031,252.58999633789062,256.6600036621094,903500,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,254.77999877929688,258.5199890136719,254.27000427246094,256.32000732421875,849000,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,258.6499938964844,261.8500061035156,257.04998779296875,257.3900146484375,518600,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,258.1499938964844,264.1700134277344,258.0799865722656,263.70001220703125,749000,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,265.2300109863281,267.92999267578125,262.79998779296875,266.70001220703125,693400,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,267.0799865722656,268.739990234375,264.69000244140625,266.94000244140625,712700,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,266.6099853515625,268.8900146484375,253.83999633789062,256.489990234375,1197100,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,255.14999389648438,259.1199951171875,253.58999633789062,255.97999572753906,1009700,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,253.60000610351562,257.8800048828125,252.25999450683594,257.6300048828125,1124300,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,257.4700012207031,263.8699951171875,257.4700012207031,260.1300048828125,1039500,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,263.989990234375,264.7900085449219,259.5899963378906,261.010009765625,774100,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,261.3699951171875,261.510009765625,257.760009765625,260.54998779296875,699100,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,262.8800048828125,263.3500061035156,257.7099914550781,259.67999267578125,1355100,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,258.75,262.8800048828125,257.2799987792969,262.1499938964844,2220200,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,258.7200012207031,262.04998779296875,258.0,260.7699890136719,1023200,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,259.94000244140625,261.0,256.260009765625,257.5899963378906,753400,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,258.45001220703125,258.57000732421875,252.52000427246094,252.7899932861328,676400,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,254.86000061035156,259.0799865722656,253.97000122070312,259.0799865722656,367200,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,260.7900085449219,261.5,257.2099914550781,257.5799865722656,497400,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,258.0400085449219,258.760009765625,252.02000427246094,254.36000061035156,579200,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,256.6400146484375,262.3699951171875,255.2100067138672,260.1499938964844,641500,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,258.07000732421875,259.989990234375,255.55999755859375,258.9100036621094,728000,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,262.05999755859375,270.2799987792969,257.70001220703125,260.3299865722656,1252000,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,260.19000244140625,266.32000732421875,258.9599914550781,265.7900085449219,1074900,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,262.45001220703125,270.94000244140625,261.80999755859375,265.2099914550781,850600,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,268.69000244140625,279.3500061035156,268.3599853515625,278.19000244140625,1011700,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,282.2200012207031,287.3399963378906,279.55999755859375,283.17999267578125,1051800,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,281.3500061035156,290.8500061035156,278.010009765625,289.1099853515625,1203900,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,289.0,296.29998779296875,287.0,290.989990234375,1323500,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,288.75,293.5199890136719,285.1600036621094,290.1000061035156,1154500,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,302.82000732421875,315.8699951171875,301.9100036621094,303.8800048828125,2431200,0,0,2021-01-14,2021-01-14 00:00:00
