Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,193.4499969482422,195.4499969482422,191.6999969482422,191.83999633789062,1099500,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,191.52999877929688,192.14999389648438,189.22999572753906,191.5399932861328,988100,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,191.97999572753906,194.5500030517578,191.52999877929688,192.6999969482422,1321400,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,193.4600067138672,197.24000549316406,193.4600067138672,195.0399932861328,1150900,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,194.63999938964844,194.7899932861328,190.77000427246094,191.6300048828125,1019800,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,190.1300048828125,192.22999572753906,189.1199951171875,189.25,1011900,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,189.67999267578125,189.99000549316406,187.24000549316406,188.3000030517578,1210500,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,188.02000427246094,190.42999267578125,186.16000366210938,187.5,1225100,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,186.75,189.97000122070312,185.41000366210938,189.17999267578125,1055700,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,190.6699981689453,193.3000030517578,189.10000610351562,189.9499969482422,1301300,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,186.10000610351562,189.47000122070312,184.6699981689453,188.32000732421875,1489100,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,187.74000549316406,188.63999938964844,185.42999267578125,186.1300048828125,1066400,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,186.13999938964844,186.67999267578125,184.50999450683594,185.7100067138672,1127400,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,185.35000610351562,187.75999450683594,185.3300018310547,187.2100067138672,3645000,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,184.3300018310547,186.5,183.32000732421875,185.0399932861328,1690800,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,185.0399932861328,185.42999267578125,183.67999267578125,184.11000061035156,1389600,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,185.1300048828125,187.30999755859375,184.41000366210938,185.85000610351562,827900,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,186.0,186.61000061035156,184.4600067138672,185.16000366210938,281800,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,185.97999572753906,188.17999267578125,185.42999267578125,187.32000732421875,570400,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,188.60000610351562,189.24000549316406,184.82000732421875,186.2899932861328,608200,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,186.92999267578125,188.3699951171875,186.89999389648438,187.64999389648438,535000,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,188.1300048828125,189.35000610351562,187.33999633789062,189.02000427246094,711500,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,187.9600067138672,187.9600067138672,180.2100067138672,180.44000244140625,1477100,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,181.19000244140625,183.25999450683594,179.57000732421875,182.35000610351562,1315900,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,181.11000061035156,183.5500030517578,179.4199981689453,182.77000427246094,1606200,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,179.83999633789062,182.30999755859375,179.14999389648438,181.25,1520800,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,181.6199951171875,181.6199951171875,177.4199981689453,180.6999969482422,1409000,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,180.10000610351562,184.1999969482422,179.22999572753906,183.49000549316406,1572500,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,183.05999755859375,185.6199951171875,182.19000244140625,184.97999572753906,1222500,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,184.75999450683594,187.14999389648438,184.63999938964844,186.72999572753906,1249200,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,188.5,192.2899932861328,188.5,190.77000427246094,1755500,0,0,2021-01-14,2021-01-14 00:00:00
