Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,458.88426520853204,468.290158533123,456.42057633916414,466.4548645019531,1401900,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,465.0684295622302,479.7508121545261,464.36022213105053,477.99530029296875,1811300,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,478.91296708750457,490.49328191844086,477.9953048494192,482.8329162597656,1595500,0.0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,485.69558678866747,500.3181255928172,484.91758136108785,498.7022705078125,1755100,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,498.15364427743793,508.14805654427124,494.0840845605938,507.3800048828125,1565000,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,505.6199951171875,516.6500244140625,505.3500061035156,511.6600036621094,1328700,1.3,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,509.0400085449219,514.6799926757812,489.7200012207031,493.8299865722656,1999700,0.0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,489.95001220703125,496.20001220703125,484.79998779296875,490.1499938964844,1303100,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,488.4700012207031,494.2799987792969,483.7300109863281,491.70001220703125,1495000,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,495.69000244140625,500.9800109863281,490.17999267578125,491.8699951171875,1054500,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,500.0,503.25,492.6700134277344,495.3299865722656,1185700,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,496.010009765625,496.4800109863281,489.2799987792969,493.30999755859375,1514800,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,489.6400146484375,491.8800048828125,482.8599853515625,486.239990234375,1433500,0.0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,484.239990234375,485.7099914550781,477.70001220703125,480.9700012207031,2587700,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,469.1199951171875,484.7099914550781,468.739990234375,483.2300109863281,1703100,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,479.42999267578125,481.739990234375,473.3999938964844,476.95001220703125,966300,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,479.6199951171875,480.7900085449219,470.9100036621094,471.1300048828125,720600,0.0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,473.67999267578125,480.3399963378906,472.8999938964844,480.3399963378906,333000,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,485.5799865722656,487.42999267578125,475.3599853515625,476.1000061035156,692800,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,475.6600036621094,477.0199890136719,469.0,473.2200012207031,901700,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,478.3699951171875,488.3399963378906,476.1199951171875,484.45001220703125,881900,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,482.29998779296875,483.9800109863281,465.5,472.2699890136719,1663000,0.0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,478.1499938964844,491.9599914550781,473.32000732421875,478.0199890136719,1768600,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,479.45001220703125,498.8299865722656,479.45001220703125,494.54998779296875,1609900,0.0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,490.5299987792969,505.7099914550781,489.0,496.489990234375,1334200,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,507.3299865722656,517.719970703125,506.6499938964844,514.4600219726562,1298100,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,514.0,522.25,498.07000732421875,501.6300048828125,1441900,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,495.5199890136719,519.9099731445312,493.54998779296875,516.47998046875,1189600,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,520.22998046875,537.8599853515625,518.9299926757812,536.4400024414062,1879000,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,534.239990234375,534.239990234375,523.1900024414062,526.5,1361300,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,542.4000244140625,570.52001953125,542.3400268554688,557.7899780273438,2003400,0.0,0,2021-01-14,2021-01-14 00:00:00
