Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,183.05999755859375,183.5399932861328,178.82000732421875,179.0,1163800,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,178.80999755859375,181.9199981689453,178.5800018310547,180.85000610351562,990100,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,180.5500030517578,181.07000732421875,178.7100067138672,179.16000366210938,946000,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,179.44000244140625,181.19000244140625,178.77999877929688,180.75999450683594,812100,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,180.10000610351562,180.3300018310547,177.13999938964844,178.25999450683594,981200,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,176.97000122070312,180.94000244140625,176.5800018310547,180.4199981689453,953400,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,180.5500030517578,181.14999389648438,176.88999938964844,178.67999267578125,777100,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,177.5500030517578,179.13999938964844,176.92999267578125,177.67999267578125,905300,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,176.9499969482422,177.08999633789062,173.10000610351562,174.66000366210938,747400,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,176.5,176.5,171.8000030517578,172.3300018310547,910500,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,173.52000427246094,174.41000366210938,171.3800048828125,173.0800018310547,820500,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,172.8000030517578,173.58999633789062,170.72999572753906,172.35000610351562,969200,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,173.80999755859375,174.0,171.07000732421875,172.91000366210938,802700,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,173.0,174.17999267578125,170.8300018310547,173.5500030517578,2085500,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,171.10000610351562,171.69000244140625,169.1999969482422,171.4199981689453,956500,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,171.47000122070312,172.2100067138672,169.33999633789062,170.00999450683594,710900,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,170.11000061035156,172.9499969482422,170.0,170.07000732421875,504400,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,170.72000122070312,170.99000549316406,169.08999633789062,170.77999877929688,256700,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,171.85000610351562,174.7899932861328,171.25999450683594,174.32000732421875,1023800,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,175.14999389648438,176.88999938964844,173.0800018310547,174.17999267578125,813700,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,174.0399932861328,175.1300048828125,173.0500030517578,173.4199981689453,579800,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,173.0,174.13999938964844,171.75999450683594,173.9199981689453,663200,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,174.27999877929688,175.0,170.5,174.42999267578125,1072000,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,174.52000427246094,177.9600067138672,173.64999389648438,175.60000610351562,1548500,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,174.0,182.5,173.8699951171875,178.92999267578125,1478800,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,179.89999389648438,183.75999450683594,179.50999450683594,183.02000427246094,2120500,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,183.86000061035156,184.38999938964844,181.83999633789062,183.5500030517578,1171300,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,182.60000610351562,184.97999572753906,181.22999572753906,183.39999389648438,1119300,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,184.0500030517578,184.33999633789062,181.9600067138672,183.27000427246094,696600,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,182.97000122070312,184.00999450683594,182.24000549316406,183.39999389648438,616100,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,183.27999877929688,184.5,181.85000610351562,182.82000732421875,684800,0,0,2021-01-14,2021-01-14 00:00:00
