Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,28.84710482621588,29.177071629194025,28.39714922799241,28.80710792541504,7032000,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,28.627124598038236,29.607027651684554,28.227165141017863,29.34705352783203,7298800,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,29.57703088015436,30.596928957059696,29.517037436559104,29.906997680664062,8955600,0.0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,30.24696300358243,30.786909704866932,29.507037525907368,30.716915130615234,15150900,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,30.636923539064508,30.786910006774676,29.49703859027306,29.82700538635254,8518900,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,29.497038887450987,30.346953948690334,29.497038887450987,29.886999130249023,6277600,0.0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,30.149999618530273,30.489999771118164,29.690000534057617,29.940000534057617,8245400,0.003,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,29.639999389648438,31.049999237060547,29.579999923706055,30.93000030517578,7864900,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,30.790000915527344,31.079999923706055,29.75,30.18000030517578,7804200,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,30.68000030517578,30.709999084472656,29.3799991607666,29.510000228881836,9620200,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,30.010000228881836,30.850000381469727,29.530000686645508,30.760000228881836,6614800,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,30.809999465942383,31.170000076293945,30.40999984741211,30.979999542236328,7005800,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,31.15999984741211,31.190000534057617,30.65999984741211,31.1200008392334,6241500,0.0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,31.059999465942383,31.829999923706055,30.8700008392334,31.670000076293945,11638100,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,30.350000381469727,31.0,29.950000762939453,30.489999771118164,8974000,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,30.479999542236328,30.59000015258789,29.790000915527344,30.350000381469727,5747000,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,30.5,31.389999389648438,30.459999084472656,30.979999542236328,4214300,0.0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,31.030000686645508,31.030000686645508,30.56999969482422,30.739999771118164,1775200,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,31.0,31.6200008392334,30.90999984741211,31.290000915527344,5283000,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,31.40999984741211,31.479999542236328,30.6200008392334,30.770000457763672,4605200,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,30.780000686645508,31.489999771118164,30.780000686645508,31.190000534057617,4393800,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,31.190000534057617,31.8700008392334,30.719999313354492,31.510000228881836,15716400,0.0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,31.690000534057617,32.380001068115234,29.579999923706055,29.700000762939453,23558600,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,29.520000457763672,30.479999542236328,29.40999984741211,30.360000610351562,10127300,0.0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,30.959999084472656,31.739999771118164,30.530000686645508,31.18000030517578,12357600,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,31.309999465942383,31.40999984741211,30.270000457763672,30.600000381469727,9925200,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,30.700000762939453,31.860000610351562,30.389999389648438,31.360000610351562,15359800,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,30.610000610351562,31.1200008392334,30.40999984741211,30.790000915527344,8426400,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,30.90999984741211,30.950000762939453,30.15999984741211,30.290000915527344,8129900,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,30.18000030517578,30.219999313354492,29.469999313354492,30.040000915527344,6504200,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,30.059999465942383,30.469999313354492,29.719999313354492,30.280000686645508,6496500,0.0,0,2021-01-14,2021-01-14 00:00:00
