Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,127.79000091552734,128.72999572753906,125.33000183105469,126.7300033569336,560400,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,125.52999877929688,129.7899932861328,124.16000366210938,124.76000213623047,684700,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,130.8699951171875,134.52000427246094,127.2699966430664,132.27999877929688,991100,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,132.1300048828125,134.52999877929688,131.6199951171875,132.85000610351562,483800,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,131.4199981689453,135.35000610351562,130.1300048828125,134.60000610351562,1044900,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,132.27000427246094,134.57000732421875,131.02000427246094,132.77000427246094,432900,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,133.6699981689453,135.0500030517578,132.6999969482422,134.41000366210938,823600,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,132.72999572753906,135.14999389648438,132.0,132.97999572753906,838700,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,131.97000122070312,137.05999755859375,131.97000122070312,134.75,579000,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,136.0800018310547,136.64999389648438,131.41000366210938,131.52999877929688,832400,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,133.67999267578125,134.6300048828125,130.9600067138672,134.13999938964844,577200,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,134.9499969482422,135.5399932861328,131.3300018310547,132.61000061035156,642500,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,133.0800018310547,135.25999450683594,132.3800048828125,135.25,798100,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,135.86000061035156,139.47999572753906,135.5399932861328,138.42999267578125,1563000,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,135.00999450683594,137.5399932861328,134.16000366210938,136.60000610351562,574500,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,137.1199951171875,138.27000427246094,135.36000061035156,135.6699981689453,462500,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,136.50999450683594,138.42999267578125,136.0,137.14999389648438,424300,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,136.97999572753906,138.8699951171875,135.4600067138672,138.72000122070312,161800,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,140.27000427246094,141.99000549316406,138.85000610351562,140.49000549316406,333300,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,140.30999755859375,140.74000549316406,137.9499969482422,139.47000122070312,397700,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,139.85000610351562,142.83999633789062,139.55999755859375,142.50999450683594,349300,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,141.86000061035156,142.10000610351562,139.58999633789062,140.9499969482422,363700,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,140.77000427246094,140.88999938964844,134.08999633789062,136.11000061035156,590900,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,136.1999969482422,140.27000427246094,135.80999755859375,138.58999633789062,580000,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,139.7100067138672,144.5,138.8800048828125,142.97000122070312,550300,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,144.05999755859375,145.3000030517578,142.0,144.30999755859375,397300,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,145.22999572753906,145.6699981689453,141.4199981689453,143.67999267578125,431600,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,141.66000366210938,148.33999633789062,141.58999633789062,147.5800018310547,793200,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,147.41000366210938,151.17999267578125,147.41000366210938,150.8699951171875,530000,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,151.6999969482422,152.0500030517578,148.39999389648438,149.6699981689453,407200,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,150.22000122070312,153.35000610351562,149.94000244140625,151.97000122070312,436100,0,0,2021-01-14,2021-01-14 00:00:00
