Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,1156.800048828125,1176.5899658203125,1151.3299560546875,1160.0899658203125,202900,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,1157.7099609375,1161.4200439453125,1132.97998046875,1139.75,93000,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,1146.9000244140625,1156.3800048828125,1129.239990234375,1132.0,115000,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,1132.52001953125,1140.5999755859375,1122.6800537109375,1131.75,173000,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,1130.3299560546875,1139.719970703125,1119.0999755859375,1125.1500244140625,174200,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,1122.8299560546875,1165.9300537109375,1118.949951171875,1161.3299560546875,124700,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,1157.8199462890625,1163.3199462890625,1142.6700439453125,1150.6800537109375,127200,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,1151.280029296875,1156.1600341796875,1140.8599853515625,1151.8199462890625,81400,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,1145.6199951171875,1147.3900146484375,1129.780029296875,1144.8699951171875,119300,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,1148.699951171875,1168.010009765625,1137.6500244140625,1139.260009765625,142700,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,1149.9300537109375,1151.5799560546875,1141.18994140625,1149.1600341796875,131800,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,1144.0799560546875,1149.550048828125,1108.7900390625,1111.260009765625,156200,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,1119.530029296875,1140.06005859375,1113.9200439453125,1130.3299560546875,153100,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,1134.8399658203125,1139.27001953125,1118.8199462890625,1134.8299560546875,320700,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,1122.239990234375,1139.219970703125,1100.1400146484375,1135.3299560546875,137200,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,1129.949951171875,1138.3900146484375,1120.760009765625,1125.530029296875,111800,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,1130.0,1133.8699951171875,1114.449951171875,1126.0999755859375,76500,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,1127.22998046875,1148.4000244140625,1127.22998046875,1140.18994140625,43000,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,1149.31005859375,1149.31005859375,1124.449951171875,1134.760009765625,49600,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,1144.6300048828125,1151.0999755859375,1131.5,1137.9599609375,86100,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,1141.1099853515625,1149.9100341796875,1129.8199462890625,1133.8800048828125,68000,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,1138.6099853515625,1140.6800537109375,1127.3499755859375,1139.6800537109375,110800,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,1155.0,1184.530029296875,1147.52001953125,1160.8699951171875,172300,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,1154.77001953125,1190.47998046875,1154.77001953125,1176.3499755859375,122200,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,1168.5899658203125,1211.5,1168.5899658203125,1197.0899658203125,181000,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,1200.0,1224.9000244140625,1200.0,1222.5400390625,125800,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,1221.4300537109375,1245.6199951171875,1218.050048828125,1236.989990234375,80700,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,1236.989990234375,1250.75,1231.8599853515625,1245.02001953125,97700,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,1239.75,1247.5999755859375,1215.510009765625,1220.47998046875,124000,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,1221.5699462890625,1231.1700439453125,1208.300048828125,1216.6300048828125,118100,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,1216.3599853515625,1220.47998046875,1201.9300537109375,1204.2099609375,98000,0,0,2021-01-14,2021-01-14 00:00:00
