Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,144.0041065400271,145.59279475167074,143.47785678947656,145.03675842285156,3999600,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,144.8480969867995,145.90059646605505,142.87216814782224,143.5970001220703,4432900,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,143.02000427246094,144.9600067138672,143.02000427246094,144.4499969482422,4757900,1.023,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,143.8699951171875,145.97999572753906,143.85000610351562,145.85000610351562,3592600,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,145.67999267578125,146.55999755859375,144.6199951171875,145.3699951171875,4217300,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,145.3300018310547,146.16000366210938,144.2899932861328,145.52000427246094,3623800,0.0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,145.55999755859375,146.10000610351562,144.27999877929688,145.69000244140625,3842000,0.0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,146.0399932861328,146.2899932861328,144.4199981689453,144.6699981689453,3985000,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,143.6300048828125,145.10000610351562,143.41000366210938,144.97000122070312,2975500,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,145.25,146.47000122070312,144.0500030517578,144.22999572753906,3952400,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,144.55999755859375,145.27000427246094,143.88999938964844,144.77000427246094,3183800,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,143.97999572753906,145.47000122070312,143.89999389648438,144.88999938964844,4915800,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,145.25,146.1999969482422,145.17999267578125,145.7100067138672,3312500,0.0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,146.3300018310547,147.10000610351562,145.5,146.92999267578125,8980400,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,145.0,145.66000366210938,143.47000122070312,145.39999389648438,3946900,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,144.60000610351562,145.0,143.47999572753906,144.02000427246094,2653700,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,144.49000549316406,145.60000610351562,144.07000732421875,144.41000366210938,2645100,0.0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,144.8300018310547,145.11000061035156,144.13999938964844,145.05999755859375,883300,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,145.77999877929688,147.60000610351562,145.5399932861328,146.91000366210938,2493500,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,147.67999267578125,148.77000427246094,146.83999633789062,147.4199981689453,3186700,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,147.47000122070312,147.99000549316406,147.00999450683594,147.30999755859375,2224900,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,147.47999572753906,148.4600067138672,146.63999938964844,148.3000030517578,2076800,0.0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,147.00999450683594,147.77999877929688,141.94000244140625,144.27000427246094,7486900,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,144.07000732421875,145.17999267578125,142.89999389648438,144.6999969482422,4126000,0.0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,141.6699981689453,143.60000610351562,141.58999633789062,142.92999267578125,4843300,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,142.80999755859375,143.14999389648438,141.14999389648438,142.47000122070312,4473200,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,142.47000122070312,144.39999389648438,141.66000366210938,144.17999267578125,4312000,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,144.02999877929688,144.30999755859375,141.69000244140625,142.08999633789062,3902700,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,141.6300048828125,142.0,139.4499969482422,141.42999267578125,5150000,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,141.1199951171875,143.24000549316406,141.0,142.58999633789062,4361600,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,141.47999572753906,142.44000244140625,141.07000732421875,141.75999450683594,4724700,0.0,0,2021-01-14,2021-01-14 00:00:00
