Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,516.0,525.280029296875,513.6900024414062,514.0700073242188,937400,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,515.9400024414062,515.9400024414062,503.80999755859375,505.1300048828125,782700,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,505.20001220703125,509.5400085449219,497.1199951171875,498.8399963378906,966000,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,497.010009765625,501.8500061035156,490.05999755859375,492.45001220703125,961200,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,497.489990234375,499.70001220703125,492.7900085449219,495.4100036621094,881900,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,497.1000061035156,497.8800048828125,486.29998779296875,497.1400146484375,1007900,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,500.0,500.0,484.0,488.6400146484375,934300,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,485.2900085449219,487.1199951171875,477.8699951171875,478.9800109863281,1184100,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,478.2200012207031,483.5400085449219,471.5799865722656,479.7699890136719,1013500,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,484.1199951171875,502.6000061035156,483.54998779296875,500.3800048828125,1245800,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,500.69000244140625,500.989990234375,486.82000732421875,491.7900085449219,1086700,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,491.79998779296875,494.4599914550781,485.1499938964844,486.57000732421875,862500,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,486.8999938964844,496.75,486.5,496.2099914550781,856300,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,500.0,506.989990234375,496.80999755859375,498.8900146484375,1820900,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,494.0,497.2900085449219,485.05999755859375,496.739990234375,1009300,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,496.0,496.4800109863281,488.5,490.05999755859375,849600,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,491.20001220703125,493.6300048828125,488.5199890136719,492.19000244140625,545700,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,492.44000244140625,495.2300109863281,486.0299987792969,488.92999267578125,289100,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,488.7200012207031,492.69000244140625,482.2099914550781,482.9599914550781,713400,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,485.0,490.45001220703125,482.4200134277344,484.2200012207031,558200,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,487.3900146484375,488.8299865722656,477.67999267578125,478.29998779296875,633200,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,477.80999755859375,483.57000732421875,470.7799987792969,483.1099853515625,897200,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,486.8500061035156,491.7799987792969,473.5799865722656,482.8599853515625,911100,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,480.3900146484375,486.25,475.4100036621094,483.45001220703125,797700,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,477.1499938964844,483.0,467.0,470.0899963378906,1434700,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,471.239990234375,481.8399963378906,467.17999267578125,481.20001220703125,1126600,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,487.92999267578125,500.70001220703125,487.92999267578125,498.7300109863281,1018800,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,501.0,505.1400146484375,489.3500061035156,502.9200134277344,1116400,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,504.4100036621094,518.5,502.0,505.75,1264100,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,517.0,522.0,509.1400146484375,511.8999938964844,1333800,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,513.0999755859375,524.8800048828125,511.3299865722656,517.9099731445312,848600,0,0,2021-01-14,2021-01-14 00:00:00
