Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,97.14669592190337,97.9730121135724,96.46971517139995,96.7186050415039,1690800,0.0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,96.290515395837,96.7982528641043,94.39895083968814,95.32482147216797,1926000,0.0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,95.44429114418004,95.93211316806449,94.23966507143574,94.32926177978516,2037600,0.0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,94.27948426519518,95.26509366670584,94.2097954020545,95.24517822265625,2262800,0.0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,95.07593294787662,95.27504181113164,94.19984331583179,94.42881774902344,1262100,0.0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,93.89121513634933,94.51842248997426,93.82152627433726,94.25957489013672,1306900,0.0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,94.58811497270537,94.68766940860255,93.49300098680335,93.90117645263672,1704500,0.0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,93.89121814120108,94.15006574932265,92.87575074859573,93.07485961914062,1088200,0.0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,92.87574484527818,94.76730937729006,92.87574484527818,94.55824279785156,2175400,0.0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,94.7872205676067,95.50402463411217,94.44873397815483,94.47859954833984,1764500,0.0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,95.0261499045114,96.09139825075579,94.88677218410679,95.77281951904297,1790400,0.0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,96.00180448125798,96.27060220868954,94.95646395071182,94.97637939453125,1798500,0.0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,95.34473316156665,96.8082068907919,95.34473316156665,96.45976257324219,1111400,0.0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,96.38011581480326,97.25621306366155,96.05158694199785,96.35025024414062,2337100,0.0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,95.09584071263245,95.44429261629766,93.24410701853853,94.81708526611328,998100,0.0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,94.77726633444007,95.52393599861534,94.4985108750973,95.39451599121094,644700,0.0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,95.55380582462777,96.06153570974355,94.57815415552257,94.5881118774414,1306900,0.0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,94.53832973739561,95.2949570883728,94.48855631942689,95.20535278320312,307200,0.0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,95.6334421533005,96.728563668421,95.6334421533005,95.9918441772461,780500,0.0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,96.3602068684056,96.54936560780253,95.10579974625087,95.19540405273438,712000,0.0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,95.28500366210938,95.81264900856523,94.93655933855518,95.28500366210938,561600,0.0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,95.5,96.47000122070312,95.11000061035156,96.30000305175781,587800,0.425,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,96.18000030517578,96.19999694824219,93.0199966430664,93.54000091552734,1297300,0.0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,93.20999908447266,93.8499984741211,92.5199966430664,93.63999938964844,1038000,0.0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,93.88999938964844,96.08000183105469,93.5,95.87999725341797,1608900,0.0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,96.22000122070312,97.26000213623047,95.70999908447266,96.7699966430664,1329000,0.0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,96.76000213623047,97.56999969482422,96.54000091552734,96.97000122070312,863100,0.0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,95.45999908447266,96.5999984741211,95.33999633789062,95.75,904700,0.0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,95.69000244140625,95.9800033569336,94.6500015258789,95.25,721300,0.0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,95.06999969482422,95.58000183105469,94.4000015258789,94.44000244140625,933500,0.0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,94.66000366210938,94.79000091552734,93.05000305175781,93.69999694824219,952200,0.0,0,2021-01-14,2021-01-14 00:00:00
