Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,46.5,47.18000030517578,46.0099983215332,46.25,3326200,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,46.06999969482422,46.220001220703125,44.79999923706055,45.290000915527344,3255300,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,45.52000045776367,46.7400016784668,45.41999816894531,46.66999816894531,1832300,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,46.97999954223633,47.560001373291016,46.52000045776367,47.540000915527344,1751400,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,47.36000061035156,47.970001220703125,46.900001525878906,47.65999984741211,2093600,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,47.18000030517578,48.619998931884766,47.18000030517578,47.93000030517578,2275700,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,48.29999923706055,48.29999923706055,47.59000015258789,48.08000183105469,1894700,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,48.029998779296875,48.540000915527344,47.83000183105469,48.209999084472656,1781400,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,47.61000061035156,48.31999969482422,47.08000183105469,47.29999923706055,1671600,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,47.88999938964844,48.27000045776367,45.900001525878906,45.91999816894531,2308400,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,46.33000183105469,46.38999938964844,45.70000076293945,46.029998779296875,1518100,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,45.689998626708984,46.810001373291016,45.689998626708984,46.27000045776367,3328500,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,46.810001373291016,46.93000030517578,45.540000915527344,45.970001220703125,1777700,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,45.779998779296875,45.81999969482422,44.810001373291016,45.5099983215332,2921900,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,44.470001220703125,44.81999969482422,43.959999084472656,44.58000183105469,1387300,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,44.54999923706055,45.029998779296875,43.90999984741211,44.41999816894531,2782400,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,44.689998626708984,45.560001373291016,44.59000015258789,45.38999938964844,1126700,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,45.599998474121094,45.599998474121094,44.88999938964844,45.470001220703125,502900,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,45.83000183105469,45.93000030517578,44.959999084472656,45.47999954223633,2206800,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,45.90999984741211,46.22999954223633,45.31999969482422,45.540000915527344,2109500,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,45.310001373291016,45.650001525878906,45.0,45.2400016784668,1202000,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,45.119998931884766,45.279998779296875,44.81999969482422,45.189998626708984,1030600,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,46.52000045776367,46.52000045776367,44.810001373291016,45.650001525878906,1857100,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,45.90999984741211,47.29999923706055,45.63999938964844,47.0,2619200,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,47.880001068115234,50.04999923706055,47.86000061035156,49.25,3360900,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,49.38999938964844,49.77000045776367,48.68000030517578,49.150001525878906,1918600,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,49.18000030517578,49.54999923706055,48.83000183105469,49.5,1134400,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,48.91999816894531,50.060001373291016,48.81999969482422,49.68000030517578,2197600,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,50.0,52.31999969482422,50.0,51.849998474121094,2902600,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,51.45000076293945,53.22999954223633,51.15999984741211,52.290000915527344,2611200,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,52.630001068115234,53.720001220703125,52.09000015258789,53.5,1902900,0,0,2021-01-14,2021-01-14 00:00:00
