Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,597.5900268554688,597.8499755859375,572.0499877929688,584.760009765625,40382800,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,556.4400024414062,571.5399780273438,541.2100219726562,568.8200073242188,47775700,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,590.02001953125,598.969970703125,582.4299926757812,593.3800048828125,42552000,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,591.010009765625,599.0399780273438,585.5,599.0399780273438,29401300,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,604.9199829101562,648.7899780273438,603.0499877929688,641.760009765625,56309700,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,625.510009765625,651.280029296875,618.5,649.8800048828125,64265000,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,653.6900024414062,654.3200073242188,588.0,604.47998046875,71291200,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,574.3699951171875,627.75,566.3400268554688,627.0700073242188,67083200,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,615.010009765625,624.0,596.7999877929688,609.989990234375,46475000,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,619.0,642.75,610.2000122070312,639.8300170898438,52040600,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,643.280029296875,646.9000244140625,623.7999877929688,633.25,45223600,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,628.22998046875,632.5,605.0,622.77001953125,42095800,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,628.1900024414062,658.8200073242188,619.5,655.9000244140625,56270100,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,668.9000244140625,695.0,628.5399780273438,695.0,222126200,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,666.239990234375,668.5,646.0700073242188,649.8599853515625,58045300,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,648.0,649.8800048828125,614.22998046875,640.3400268554688,51716000,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,632.2000122070312,651.5,622.5700073242188,645.97998046875,33173000,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,642.989990234375,666.0900268554688,641.0,661.77001953125,22865600,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,674.510009765625,681.4000244140625,660.7999877929688,663.6900024414062,32278600,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,661.0,669.9000244140625,655.0,665.989990234375,22910800,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,672.0,696.5999755859375,668.3599853515625,694.780029296875,42846000,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,699.989990234375,718.719970703125,691.1199951171875,705.6699829101562,49570900,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,719.4600219726562,744.489990234375,717.1900024414062,729.77001953125,48638200,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,723.6599731445312,740.8400268554688,719.2000122070312,735.1099853515625,32245200,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,758.489990234375,774.0,749.0999755859375,755.97998046875,44700000,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,777.6300048828125,816.989990234375,775.2000122070312,816.0399780273438,51498900,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,856.0,884.489990234375,838.3900146484375,880.02001953125,75055500,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,849.4000244140625,854.4299926757812,803.6199951171875,811.1900024414062,59554100,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,831.0,868.0,827.3400268554688,849.4400024414062,46270700,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,852.760009765625,860.469970703125,832.0,854.4099731445312,33312500,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,843.3900146484375,863.0,838.75,845.0,31266300,0,0,2021-01-14,2021-01-14 00:00:00
