Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,133.0500030517578,134.3300018310547,130.19000244140625,130.83999633789062,615900,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,130.47999572753906,132.6999969482422,130.0399932861328,132.00999450683594,295700,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,131.64999389648438,132.8800048828125,130.1199951171875,132.39999389648438,758700,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,132.86000061035156,135.72999572753906,132.86000061035156,135.17999267578125,339300,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,133.9199981689453,134.83999633789062,130.25999450683594,131.02000427246094,684300,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,130.2899932861328,133.58999633789062,130.2899932861328,132.6699981689453,597200,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,133.5800018310547,134.2100067138672,132.25999450683594,133.91000366210938,329000,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,132.60000610351562,135.97000122070312,132.14999389648438,135.3699951171875,553500,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,134.33999633789062,135.16000366210938,131.1300048828125,132.35000610351562,615000,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,133.99000549316406,137.0,131.77999877929688,134.55999755859375,791100,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,136.0,137.4499969482422,133.33999633789062,135.6699981689453,678000,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,135.1300048828125,138.72999572753906,134.85000610351562,137.6300048828125,650400,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,138.4199981689453,140.24000549316406,137.72000122070312,139.72999572753906,601000,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,139.5500030517578,140.19000244140625,136.47000122070312,137.2899932861328,987400,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,135.14999389648438,136.39999389648438,132.8800048828125,135.80999755859375,475700,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,136.38999938964844,137.24000549316406,134.69000244140625,135.8000030517578,298100,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,137.0,138.1699981689453,136.63999938964844,137.05999755859375,257800,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,137.55999755859375,137.60000610351562,135.3300018310547,136.92999267578125,98600,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,137.86000061035156,138.49000549316406,136.0800018310547,136.52999877929688,279700,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,136.83999633789062,137.3000030517578,135.22999572753906,136.17999267578125,288300,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,136.27000427246094,137.5,135.16000366210938,136.1300048828125,287500,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,136.5500030517578,137.9199981689453,135.17999267578125,137.5,225000,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,137.8000030517578,138.47000122070312,133.1199951171875,135.27999877929688,487300,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,133.10000610351562,138.08999633789062,131.85000610351562,136.10000610351562,514800,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,138.1300048828125,143.2100067138672,138.1300048828125,141.7100067138672,634800,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,142.5399932861328,143.83999633789062,140.97000122070312,142.4600067138672,527200,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,142.77000427246094,143.5399932861328,140.16000366210938,141.13999938964844,510700,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,138.0,140.57000732421875,131.6999969482422,135.1199951171875,1260600,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,135.14999389648438,138.00999450683594,134.0,137.57000732421875,838500,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,137.10000610351562,137.99000549316406,133.94000244140625,135.67999267578125,587700,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,136.11000061035156,136.77999877929688,133.13999938964844,133.58999633789062,454000,0,0,2021-01-14,2021-01-14 00:00:00
