Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,DateTimeObj,StrDateTime
2020-12-01,64.08000183105469,64.51000213623047,63.27000045776367,63.4900016784668,1961800,0,0,2020-12-01,2020-12-01 00:00:00
2020-12-02,62.63999938964844,63.810001373291016,62.369998931884766,62.47999954223633,2062200,0,0,2020-12-02,2020-12-02 00:00:00
2020-12-03,61.52000045776367,64.19000244140625,61.52000045776367,63.189998626708984,2719600,0,0,2020-12-03,2020-12-03 00:00:00
2020-12-04,64.0,64.61000061035156,63.58000183105469,64.19999694824219,2386200,0,0,2020-12-04,2020-12-04 00:00:00
2020-12-07,64.45999908447266,66.5,64.45999908447266,65.72000122070312,3066300,0,0,2020-12-07,2020-12-07 00:00:00
2020-12-08,65.29000091552734,66.54000091552734,64.77999877929688,64.94999694824219,3414900,0,0,2020-12-08,2020-12-08 00:00:00
2020-12-09,65.23999786376953,65.63999938964844,64.55000305175781,65.0199966430664,3098400,0,0,2020-12-09,2020-12-09 00:00:00
2020-12-10,64.30000305175781,65.52999877929688,63.68000030517578,64.02999877929688,1951400,0,0,2020-12-10,2020-12-10 00:00:00
2020-12-11,63.66999816894531,64.44000244140625,63.09000015258789,64.25,2120900,0,0,2020-12-11,2020-12-11 00:00:00
2020-12-14,65.31999969482422,65.44999694824219,63.20000076293945,63.2400016784668,3389900,0,0,2020-12-14,2020-12-14 00:00:00
2020-12-15,63.66999816894531,65.9000015258789,62.869998931884766,65.87000274658203,2409200,0,0,2020-12-15,2020-12-15 00:00:00
2020-12-16,66.0,67.08999633789062,65.5999984741211,66.48999786376953,3326400,0,0,2020-12-16,2020-12-16 00:00:00
2020-12-17,66.9000015258789,67.12000274658203,64.7699966430664,65.94999694824219,3185100,0,0,2020-12-17,2020-12-17 00:00:00
2020-12-18,66.08000183105469,66.43000030517578,63.040000915527344,64.0199966430664,5336200,0,0,2020-12-18,2020-12-18 00:00:00
2020-12-21,63.16999816894531,63.93000030517578,62.04999923706055,62.650001525878906,4141100,0,0,2020-12-21,2020-12-21 00:00:00
2020-12-22,62.619998931884766,63.04999923706055,61.849998474121094,62.66999816894531,3636400,0,0,2020-12-22,2020-12-22 00:00:00
2020-12-23,62.5,63.43000030517578,61.81999969482422,62.36000061035156,1564700,0,0,2020-12-23,2020-12-23 00:00:00
2020-12-24,62.68000030517578,63.599998474121094,62.31999969482422,63.52000045776367,547500,0,0,2020-12-24,2020-12-24 00:00:00
2020-12-28,63.540000915527344,63.630001068115234,62.54999923706055,62.970001220703125,4210400,0,0,2020-12-28,2020-12-28 00:00:00
2020-12-29,63.58000183105469,63.75,62.599998474121094,63.18000030517578,1364400,0,0,2020-12-29,2020-12-29 00:00:00
2020-12-30,63.22999954223633,64.58000183105469,63.13999938964844,63.79999923706055,1195200,0,0,2020-12-30,2020-12-30 00:00:00
2020-12-31,63.54999923706055,64.73999786376953,62.709999084472656,64.62000274658203,1424900,0,0,2020-12-31,2020-12-31 00:00:00
2021-01-04,64.63999938964844,64.69999694824219,61.5,61.599998474121094,2235500,0,0,2021-01-04,2021-01-04 00:00:00
2021-01-05,61.79999923706055,62.65999984741211,61.599998474121094,61.959999084472656,1986500,0,0,2021-01-05,2021-01-05 00:00:00
2021-01-06,63.2400016784668,64.97000122070312,62.7400016784668,64.58000183105469,2458200,0,0,2021-01-06,2021-01-06 00:00:00
2021-01-07,64.36000061035156,64.47000122070312,62.38999938964844,63.29999923706055,1962700,0,0,2021-01-07,2021-01-07 00:00:00
2021-01-08,62.040000915527344,63.02000045776367,61.40999984741211,62.68000030517578,1941000,0,0,2021-01-08,2021-01-08 00:00:00
2021-01-11,62.36000061035156,62.5,61.06999969482422,61.18000030517578,1748200,0,0,2021-01-11,2021-01-11 00:00:00
2021-01-12,61.47999954223633,61.72999954223633,60.709999084472656,61.09000015258789,2285700,0,0,2021-01-12,2021-01-12 00:00:00
2021-01-13,61.439998626708984,63.869998931884766,61.439998626708984,63.810001373291016,1596900,0,0,2021-01-13,2021-01-13 00:00:00
2021-01-14,64.0199966430664,64.58999633789062,63.380001068115234,63.560001373291016,1319700,0,0,2021-01-14,2021-01-14 00:00:00
